,Long,Lat,Jdate,mean(speed),mean(tw),max(speed),date
1,-151.48,61.01,151,1.540683494,-0.672480055,2.246201603,6/1/22
2,-151.48,61.01,152,1.968292018,0.341704387,3.683031562,6/2/22
3,-151.48,61.01,153,1.417503698,-0.171517962,3.249517846,6/3/22
4,-151.48,61.01,154,2.449847936,-0.558837281,4.455844558,6/4/22
5,-151.48,61.01,155,1.658492135,0.031037968,4.200579155,6/5/22
6,-151.48,61.01,156,2.277431654,-0.210132849,5.01691414,6/6/22
7,-151.48,61.01,157,2.789728518,-0.365953062,3.969299593,6/7/22
8,-151.48,61.01,158,4.86184676,0.259757372,6.685161123,6/8/22
9,-151.48,61.01,159,1.0971832,-0.091048248,2.459752717,6/9/22
10,-151.48,61.01,160,3.081217091,-0.044215603,4.735956605,6/10/22
11,-151.48,61.01,161,1.581400549,0.199563978,3.618041876,6/11/22
12,-151.48,61.01,162,3.895389754,-0.893646398,5.214087568,6/12/22
13,-151.48,61.01,163,2.949684739,0.37754287,4.411130277,6/13/22
14,-151.48,61.01,164,3.436465718,-0.189181836,5.331386086,6/14/22
15,-151.48,61.01,165,1.961442408,-0.022883303,4.396353594,6/15/22
16,-151.48,61.01,166,2.703883846,0.851355062,4.736993804,6/16/22
17,-151.48,61.01,167,4.374210231,0.386631679,6.822687809,6/17/22
18,-151.48,61.01,168,4.416803776,0.639438725,6.332201741,6/18/22
19,-151.48,61.01,169,1.470592118,0.242172714,3.030157623,6/19/22
20,-151.48,61.01,170,1.452377328,-0.003484541,3.239590381,6/20/22
21,-151.48,61.01,171,2.563135754,0.193753221,6.335582648,6/21/22
22,-151.48,61.01,172,2.635808878,-0.670070499,4.744223237,6/22/22
23,-151.48,61.01,173,3.514212265,0.246426162,5.974806621,6/23/22
24,-151.48,61.01,174,2.595404883,-0.07621434,5.069040666,6/24/22
25,-151.48,61.01,175,4.497108483,-1.158913169,6.947039828,6/25/22
26,-151.48,61.01,176,3.977808259,0.539390518,5.954668207,6/26/22
27,-151.48,61.01,177,4.238192594,-0.383118279,5.983498014,6/27/22
28,-151.48,61.01,178,3.8521808,0.75252751,5.412938505,6/28/22
29,-151.48,61.01,179,2.690585279,-0.188820419,4.582786963,6/29/22
30,-151.48,61.01,180,3.30199675,1.036539202,6.570708613,6/30/22
31,-151.48,61.01,181,4.76359568,0.327155431,6.898159586,7/1/22
32,-151.48,61.01,182,2.537923341,-0.370327513,4.83250489,7/2/22
33,-151.48,61.01,183,1.571246057,0.356055659,3.273215075,7/3/22
34,-151.48,61.01,184,2.75263344,-0.072920548,4.639659615,7/4/22
35,-151.48,61.01,185,3.288466381,0.232406998,4.67921564,7/5/22
36,-151.48,61.01,186,3.420347533,1.08126091,6.147686015,7/6/22
37,-151.48,61.01,187,3.77022346,0.025713202,5.802389102,7/7/22
38,-151.48,61.01,188,2.635590577,0.386150585,4.498403588,7/8/22
39,-151.48,61.01,189,4.721820979,0.181314795,5.494578414,7/9/22
40,-151.48,61.01,190,3.081565572,-1.044168499,5.179831474,7/10/22
41,-151.48,61.01,191,2.314656634,-0.122820792,4.204193024,7/11/22
42,-151.48,61.01,192,2.761277987,-0.111539319,5.542405678,7/12/22
43,-151.48,61.01,193,2.739527109,0.659645754,5.415997965,7/13/22
44,-151.48,61.01,194,3.400438642,-0.829074265,5.916701786,7/14/22
45,-151.48,61.01,195,2.492410837,0.007617718,3.296997481,7/15/22
46,-151.48,61.01,196,5.601533438,0.282539665,8.239410746,7/16/22
47,-151.48,61.01,197,3.422157219,-0.965557043,6.386567357,7/17/22
48,-151.48,61.01,198,2.980029861,-1.030597924,5.106812497,7/18/22
49,-151.48,61.01,199,5.312813632,0.521669857,8.675419625,7/19/22
50,-151.48,61.01,200,6.41898515,1.076922212,8.988628749,7/20/22
51,-151.48,61.01,201,4.05651568,0.149552033,7.190036398,7/21/22
52,-151.48,61.01,202,3.643932851,-1.023638542,5.185575716,7/22/22
53,-151.48,61.01,203,3.34624413,-0.207871467,4.178860196,7/23/22
54,-151.48,61.01,204,1.835922147,0.05086034,3.640367553,7/24/22
55,-151.48,61.01,205,2.868502315,0.222188557,4.707848248,7/25/22
56,-151.48,61.01,206,5.635349952,1.158007826,11.20468809,7/26/22
57,-151.48,61.01,207,7.175086532,-1.397466882,10.84847704,7/27/22
58,-151.48,61.01,208,1.611900589,0.167345205,3.750313322,7/28/22
59,-151.48,61.01,209,3.415319462,0.044270747,5.840161124,7/29/22
60,-151.48,61.01,210,1.631512118,0.680450847,3.178089023,7/30/22
61,-151.48,61.01,211,2.076936838,0.052781847,3.706005087,7/31/22
62,-151.48,61.01,212,3.47634473,-1.05404068,4.528057746,8/1/22
63,-151.48,61.01,213,2.112901301,0.196992159,3.980820536,8/2/22
64,-151.48,61.01,214,1.78590704,0.565801259,3.085403546,8/3/22
65,-151.48,61.01,215,2.489348629,0.192775396,4.611661764,8/4/22
66,-151.48,61.01,216,3.824793811,1.648385449,6.582180114,8/5/22
67,-151.48,61.01,217,5.488270719,0.784713397,6.339485095,8/6/22
68,-151.48,61.01,218,4.010565139,0.068537541,5.285180121,8/7/22
69,-151.48,61.01,219,6.328286585,-3.009230772,12.18825805,8/8/22
70,-151.48,61.01,220,9.950913812,-3.324548916,10.92803185,8/9/22
71,-151.48,61.01,221,5.813068126,-0.686637419,8.945048543,8/10/22
72,-151.48,61.01,222,3.60587083,-0.027712832,4.469070428,8/11/22
73,-151.48,61.01,223,4.859110488,0.19417273,5.770209185,8/12/22
74,-151.48,61.01,224,4.633182333,0.592093847,5.608835595,8/13/22
75,-151.48,61.01,225,1.699674264,0.194501363,3.347185159,8/14/22
76,-151.48,61.01,226,1.63788753,0.01027229,1.999058422,8/15/22
77,-151.48,61.01,227,1.02318219,0.171786913,1.98114517,8/16/22
78,-151.48,61.01,228,3.579216579,-0.943518609,5.735611194,8/17/22
79,-151.48,61.01,229,3.773412672,0.810946955,7.363451869,8/18/22
80,-151.48,61.01,230,4.797938547,-0.298245052,6.948817286,8/19/22
81,-151.48,61.01,231,3.772690222,-0.379496836,4.877997518,8/20/22
82,-151.48,61.01,232,4.507703652,-0.771650685,5.194613004,8/21/22
83,-151.48,61.01,233,4.450686267,1.760850227,5.132916307,8/22/22
84,-151.48,61.01,234,4.857824316,-0.790398417,5.901721174,8/23/22
85,-151.48,61.01,235,2.152855634,-0.138757524,4.279135486,8/24/22
86,-151.48,61.01,236,3.023378608,0.454742726,4.570109618,8/25/22
87,-151.48,61.01,237,5.966995502,-0.561980663,7.057533429,8/26/22
88,-151.48,61.01,238,3.142387982,-0.778042184,5.806386471,8/27/22
89,-151.48,61.01,239,1.150172914,0.03649184,1.944617759,8/28/22
90,-151.48,61.01,240,1.199157299,-0.302697024,1.754324972,8/29/22
91,-151.48,61.01,241,0.975239051,0.071828688,1.944602467,8/30/22
92,-151.48,61.01,242,3.263503092,-0.316108223,5.744087546,8/31/22
93,-151.48,61.01,243,3.641781329,-0.29911113,4.740151536,9/1/22
94,-150.98,61.01,151,2.056452049,0.543184584,2.681451331,6/1/22
95,-150.98,61.01,152,2.921813197,0.304071484,5.425845967,6/2/22
96,-150.98,61.01,153,1.980693528,0.04948073,3.589514817,6/3/22
97,-150.98,61.01,154,1.743984501,0.194863792,3.778823618,6/4/22
98,-150.98,61.01,155,1.566825534,-0.25613398,3.251932868,6/5/22
99,-150.98,61.01,156,2.436297142,-0.265802869,4.873444299,6/6/22
100,-150.98,61.01,157,2.551123439,0.577586196,4.252249839,6/7/22
101,-150.98,61.01,158,4.672047769,-0.04797439,6.026842751,6/8/22
102,-150.98,61.01,159,1.404318448,0.150983466,2.431421582,6/9/22
103,-150.98,61.01,160,2.821370346,0.062734898,4.698623731,6/10/22
104,-150.98,61.01,161,2.288800388,-0.368604238,4.605871669,6/11/22
105,-150.98,61.01,162,3.928492371,0.650229919,5.078389658,6/12/22
106,-150.98,61.01,163,2.207481979,-0.284702931,3.896963703,6/13/22
107,-150.98,61.01,164,3.532353274,0.119611352,5.648540635,6/14/22
108,-150.98,61.01,165,2.485340743,-0.733838787,5.670150812,6/15/22
109,-150.98,61.01,166,3.657403619,0.165600302,6.194736024,6/16/22
110,-150.98,61.01,167,5.042078024,1.401140384,7.889915626,6/17/22
111,-150.98,61.01,168,4.599811415,-0.02356389,6.533715748,6/18/22
112,-150.98,61.01,169,1.626544235,-0.067395004,2.934143706,6/19/22
113,-150.98,61.01,170,2.453166572,-0.203250124,4.410118234,6/20/22
114,-150.98,61.01,171,3.591213466,0.122331617,7.829333584,6/21/22
115,-150.98,61.01,172,4.315024002,-0.027107035,6.604360434,6/22/22
116,-150.98,61.01,173,4.257255953,1.09578478,6.431212157,6/23/22
117,-150.98,61.01,174,3.462613876,0.112941934,6.176060377,6/24/22
118,-150.98,61.01,175,5.689527562,0.610588748,7.781821523,6/25/22
119,-150.98,61.01,176,3.886487927,-0.713269366,6.783686613,6/26/22
120,-150.98,61.01,177,3.916079225,0.119151923,7.13268611,6/27/22
121,-150.98,61.01,178,4.347806631,-0.910548125,6.653967028,6/28/22
122,-150.98,61.01,179,3.099277425,0.066469215,5.211355527,6/29/22
123,-150.98,61.01,180,4.042486193,-0.696242579,7.15133444,6/30/22
124,-150.98,61.01,181,5.16871385,-0.44996745,7.241952125,7/1/22
125,-150.98,61.01,182,3.311149696,-1.120300121,5.848270352,7/2/22
126,-150.98,61.01,183,1.968932894,-0.071940384,4.852876248,7/3/22
127,-150.98,61.01,184,3.422974193,0.956223606,5.757690732,7/4/22
128,-150.98,61.01,185,3.593519531,-0.680120649,5.441624599,7/5/22
129,-150.98,61.01,186,3.623758965,-0.180746561,6.103222762,7/6/22
130,-150.98,61.01,187,3.67612699,-0.346357977,5.63563907,7/7/22
131,-150.98,61.01,188,2.748544846,-0.000206753,4.572667535,7/8/22
132,-150.98,61.01,189,4.210840567,0.764041804,5.417355352,7/9/22
133,-150.98,61.01,190,2.240324439,0.338043991,3.364715774,7/10/22
134,-150.98,61.01,191,2.560197367,0.402498649,4.119735655,7/11/22
135,-150.98,61.01,192,1.991846709,-0.570883294,4.566107815,7/12/22
136,-150.98,61.01,193,2.044531381,-0.135937096,4.341393252,7/13/22
137,-150.98,61.01,194,3.159696221,-0.547338419,5.241717108,7/14/22
138,-150.98,61.01,195,2.235417333,-0.203749715,3.332702798,7/15/22
139,-150.98,61.01,196,5.107245796,0.649934223,7.636247112,7/16/22
140,-150.98,61.01,197,3.169316659,0.626871593,5.52552559,7/17/22
141,-150.98,61.01,198,3.765809059,0.338342886,5.924168857,7/18/22
142,-150.98,61.01,199,5.306493695,-0.611573293,7.514785638,7/19/22
143,-150.98,61.01,200,6.216252693,0.832931201,8.732905781,7/20/22
144,-150.98,61.01,201,4.096890016,0.092691727,6.767264688,7/21/22
145,-150.98,61.01,202,3.230142751,-0.017548244,4.48458118,7/22/22
146,-150.98,61.01,203,3.596476613,-0.229154585,4.460332515,7/23/22
147,-150.98,61.01,204,2.074981368,-0.203860303,4.140531403,7/24/22
148,-150.98,61.01,205,2.561170718,-0.309668086,4.358006832,7/25/22
149,-150.98,61.01,206,5.874995798,1.401961196,12.64457717,7/26/22
150,-150.98,61.01,207,8.581380306,-0.527747508,13.56662072,7/27/22
151,-150.98,61.01,208,2.234528907,0.026660502,4.504433003,7/28/22
152,-150.98,61.01,209,3.993444727,0.537127012,6.680302432,7/29/22
153,-150.98,61.01,210,1.958497981,0.110932644,4.449835889,7/30/22
154,-150.98,61.01,211,2.677405665,-0.193814106,4.79485749,7/31/22
155,-150.98,61.01,212,3.075978125,0.662743958,4.974511954,8/1/22
156,-150.98,61.01,213,2.410378606,0.073796095,4.129904492,8/2/22
157,-150.98,61.01,214,2.463339648,-0.060375381,3.890234215,8/3/22
158,-150.98,61.01,215,2.512150346,0.236054685,4.400828042,8/4/22
159,-150.98,61.01,216,3.930466174,-0.494683808,6.340376307,8/5/22
160,-150.98,61.01,217,5.716281845,-0.075461956,7.552730015,8/6/22
161,-150.98,61.01,218,4.721191956,-1.345113118,6.616665178,8/7/22
162,-150.98,61.01,219,7.475838418,-2.055709261,13.16876167,8/8/22
163,-150.98,61.01,220,11.20582744,0.670743547,12.77199512,8/9/22
164,-150.98,61.01,221,6.843176409,-2.180745916,10.55741433,8/10/22
165,-150.98,61.01,222,4.505436566,0.316393904,5.753906835,8/11/22
166,-150.98,61.01,223,5.181927434,0.211519767,6.577936148,8/12/22
167,-150.98,61.01,224,4.941670207,0.364608516,6.120769569,8/13/22
168,-150.98,61.01,225,1.67751826,-0.588342718,3.102197539,8/14/22
169,-150.98,61.01,226,1.404869342,-0.2613278,2.361164425,8/15/22
170,-150.98,61.01,227,1.12775072,-0.160345633,2.120178749,8/16/22
171,-150.98,61.01,228,4.216579653,0.691394965,6.732973969,8/17/22
172,-150.98,61.01,229,4.502002202,0.024772227,8.115357767,8/18/22
173,-150.98,61.01,230,4.439497501,-0.546003044,6.08985122,8/19/22
174,-150.98,61.01,231,4.558070913,0.140571972,6.065617218,8/20/22
175,-150.98,61.01,232,5.128531257,-1.024698343,5.720019529,8/21/22
176,-150.98,61.01,233,4.905788195,0.23503117,5.827549868,8/22/22
177,-150.98,61.01,234,5.240345197,-1.021587162,6.166176435,8/23/22
178,-150.98,61.01,235,2.45434839,0.430283996,4.230278543,8/24/22
179,-150.98,61.01,236,3.388547453,-0.295437472,4.74960865,8/25/22
180,-150.98,61.01,237,5.809581835,-0.747123045,7.422076367,8/26/22
181,-150.98,61.01,238,2.897716574,-0.609900924,4.57405736,8/27/22
182,-150.98,61.01,239,1.45732538,-0.072829057,2.817205639,8/28/22
