,Long,Lat,Jdate,mean(tw),mean(ws),max(ws)
1,-151.48,61.01,151,1.146345212,1.540683494,2.246201603
2,-151.48,61.01,152,-0.202044239,1.968292018,3.683031562
3,-151.48,61.01,153,-0.009240364,1.417503698,3.249517846
4,-151.48,61.01,154,0.090790956,2.449847936,4.455844558
5,-151.48,61.01,155,-0.034803361,1.658492135,4.200579155
6,-151.48,61.01,156,0.240626889,2.277431654,5.01691414
7,-151.48,61.01,157,0.636306861,2.789728518,3.969299593
8,-151.48,61.01,158,-0.505493699,4.86184676,6.685161123
9,-151.48,61.01,159,-0.157064021,1.0971832,2.459752717
10,-151.48,61.01,160,0.462648658,3.081217091,4.735956605
11,-151.48,61.01,161,-0.009402482,1.581400549,3.618041876
12,-151.48,61.01,162,1.295794585,3.895389754,5.214087568
13,-151.48,61.01,163,0.29890571,2.949684739,4.411130277
14,-151.48,61.01,164,-0.839218695,3.436465718,5.331386086
15,-151.48,61.01,165,0.255317092,1.961442408,4.396353594
16,-151.48,61.01,166,-0.924907427,2.703883846,4.736993804
17,-151.48,61.01,167,0.326719192,4.374210231,6.822687809
18,-151.48,61.01,168,-0.832704606,4.416803776,6.332201741
19,-151.48,61.01,169,-0.349814235,1.470592118,3.030157623
20,-151.48,61.01,170,-0.061571829,1.452377328,3.239590381
21,-151.48,61.01,171,0.203788184,2.563135754,6.335582648
22,-151.48,61.01,172,0.087283027,2.635808878,4.744223237
23,-151.48,61.01,173,-0.230388013,3.514212265,5.974806621
24,-151.48,61.01,174,0.581597159,2.595404883,5.069040666
25,-151.48,61.01,175,-0.016774109,4.497108483,6.947039828
26,-151.48,61.01,176,-1.139043874,3.977808259,5.954668207
27,-151.48,61.01,177,0.967417981,4.238192594,5.983498014
28,-151.48,61.01,178,-0.310167586,3.8521808,5.412938505
29,-151.48,61.01,179,0.429015386,2.690585279,4.582786963
30,-151.48,61.01,180,0.265712091,3.30199675,6.570708613
31,-151.48,61.01,181,0.35709117,4.76359568,6.898159586
32,-151.48,61.01,182,0.336397975,2.537923341,4.83250489
33,-151.48,61.01,183,-0.172369821,1.571246057,3.273215075
34,-151.48,61.01,184,-0.134372704,2.75263344,4.639659615
35,-151.48,61.01,185,0.414873336,3.288466381,4.67921564
36,-151.48,61.01,186,-0.378545604,3.420347533,6.147686015
37,-151.48,61.01,187,0.552795814,3.77022346,5.802389102
38,-151.48,61.01,188,-0.118447202,2.635590577,4.498403588
39,-151.48,61.01,189,0.411260919,4.721820979,5.494578414
40,-151.48,61.01,190,0.220303607,3.081565572,5.179831474
41,-151.48,61.01,191,-0.110067942,2.314656634,4.204193024
42,-151.48,61.01,192,0.054600901,2.761277987,5.542405678
43,-151.48,61.01,193,-0.986828832,2.739527109,5.415997965
44,-151.48,61.01,194,0.163577598,3.400438642,5.916701786
45,-151.48,61.01,195,-0.397860758,2.492410837,3.296997481
46,-151.48,61.01,196,-0.852138096,5.601533438,8.239410746
47,-151.48,61.01,197,0.84297208,3.422157219,6.386567357
48,-151.48,61.01,198,0.061938545,2.980029861,5.106812497
49,-151.48,61.01,199,-0.317220947,5.312813632,8.675419625
50,-151.48,61.01,200,0.912574438,6.41898515,8.988628749
51,-151.48,61.01,201,-0.475886202,4.05651568,7.190036398
52,-151.48,61.01,202,0.671034117,3.643932851,5.185575716
53,-151.48,61.01,203,0.067669307,3.34624413,4.178860196
54,-151.48,61.01,204,0.259695463,1.835922147,3.640367553
55,-151.48,61.01,205,-0.816771718,2.868502315,4.707848248
56,-151.48,61.01,206,0.295871782,5.635349952,11.20468809
57,-151.48,61.01,207,3.009296528,7.175086532,10.84847704
58,-151.48,61.01,208,-0.117050246,1.611900589,3.750313322
59,-151.48,61.01,209,0.353487091,3.415319462,5.840161124
60,-151.48,61.01,210,-0.180997704,1.631512118,3.178089023
61,-151.48,61.01,211,-0.145097711,2.076936838,3.706005087
62,-151.48,61.01,212,0.443620089,3.47634473,4.528057746
63,-151.48,61.01,213,-0.159733701,2.112901301,3.980820536
64,-151.48,61.01,214,-0.41778457,1.78590704,3.085403546
65,-151.48,61.01,215,0.23412642,2.489348629,4.611661764
66,-151.48,61.01,216,-1.602702432,3.824793811,6.582180114
67,-151.48,61.01,217,0.150821432,5.488270719,6.339485095
68,-151.48,61.01,218,-1.147810705,4.010565139,5.285180121
69,-151.48,61.01,219,1.34585266,6.328286585,12.18825805
70,-151.48,61.01,220,1.739215382,9.950913812,10.92803185
71,-151.48,61.01,221,0.683605879,5.813068126,8.945048543
72,-151.48,61.01,222,-0.224182263,3.60587083,4.469070428
73,-151.48,61.01,223,-1.184055047,4.859110488,5.770209185
74,-151.48,61.01,224,-0.062052427,4.633182333,5.608835595
75,-151.48,61.01,225,-0.182898397,1.699674264,3.347185159
76,-151.48,61.01,226,-0.025841218,1.63788753,1.999058422
77,-151.48,61.01,227,-0.098161102,1.02318219,1.98114517
78,-151.48,61.01,228,0.555766417,3.579216579,5.735611194
79,-151.48,61.01,229,-1.544877052,3.773412672,7.363451869
80,-151.48,61.01,230,-0.374322852,4.797938547,6.948817286
81,-151.48,61.01,231,0.531623676,3.772690222,4.877997518
82,-151.48,61.01,232,1.04359668,4.507703652,5.194613004
83,-151.48,61.01,233,-1.235324585,4.450686267,5.132916307
84,-151.48,61.01,234,0.777065774,4.857824316,5.901721174
85,-151.48,61.01,235,0.136178673,2.152855634,4.279135486
86,-151.48,61.01,236,0.008461617,3.023378608,4.570109618
87,-151.48,61.01,237,1.288242989,5.966995502,7.057533429
88,-151.48,61.01,238,0.412813844,3.142387982,5.806386471
89,-151.48,61.01,239,-0.154636872,1.150172914,1.944617759
90,-151.48,61.01,240,0.119968945,1.199157299,1.754324972
91,-151.48,61.01,241,-0.221897877,0.975239051,1.944602467
