,Long,Lat,Jdate,mean(tw),mean(ws),max(ws)
1,-157.23,58.7,151,-1.685291369,4.504292904,6.943490733
2,-157.23,58.7,152,0.945374924,3.05509225,7.263998292
3,-157.23,58.7,153,0.038700149,2.987638637,7.510505164
4,-157.23,58.7,154,0.409160355,2.948566059,7.498405818
5,-157.23,58.7,155,0.250107663,3.768705629,5.918961187
6,-157.23,58.7,156,-1.214650579,3.576432398,4.836483964
7,-157.23,58.7,157,-0.063984478,3.342136665,5.274253321
8,-157.23,58.7,158,0.210211554,3.259221727,4.935187166
9,-157.23,58.7,159,0.728072311,4.924858708,7.5365715
10,-157.23,58.7,160,0.56790299,3.399184345,5.297724087
11,-157.23,58.7,161,-0.412541121,2.574513849,4.466092648
12,-157.23,58.7,162,1.015120218,4.613766529,6.773165911
13,-157.23,58.7,163,0.078123066,5.414304059,7.70549394
14,-157.23,58.7,164,-0.726847768,3.790514781,5.252343403
15,-157.23,58.7,165,-0.126253316,1.884203993,4.429327566
16,-157.23,58.7,166,0.1819351,2.52114408,5.113404024
17,-157.23,58.7,167,-2.873105152,5.637356191,9.582961112
18,-157.23,58.7,168,-0.875976685,6.726407883,9.576697797
19,-157.23,58.7,169,-1.016154286,3.735174735,5.9914644
20,-157.23,58.7,170,0.075885928,1.941940596,3.667793584
21,-157.23,58.7,171,0.934334587,4.612409004,9.224735467
22,-157.23,58.7,172,-1.131384932,7.80901367,10.59626183
23,-157.23,58.7,173,2.785363111,7.0302285,10.17198681
24,-157.23,58.7,174,0.113068656,2.907741116,7.715637138
25,-157.23,58.7,175,0.436966449,2.228289099,4.218296989
26,-157.23,58.7,176,-3.010946094,10.15426246,14.44090854
27,-157.23,58.7,177,-1.055595119,12.9867585,14.96143778
28,-157.23,58.7,178,0.189487433,7.910511185,11.86124978
29,-157.23,58.7,179,1.132689092,3.413456145,6.08550432
30,-157.23,58.7,180,-0.666375328,3.430835341,6.109884872
31,-157.23,58.7,181,-2.536664328,7.507508577,13.23831472
32,-157.23,58.7,182,-3.291947628,6.987416471,11.18658648
33,-157.23,58.7,183,-0.807324549,4.340128576,6.118332812
34,-157.23,58.7,184,-0.321675709,3.086600502,6.937509847
35,-157.23,58.7,185,1.190128752,6.643955855,7.432377659
36,-157.23,58.7,186,-1.416562843,4.470128696,6.854708863
37,-157.23,58.7,187,-0.965907135,4.389069642,6.032387657
38,-157.23,58.7,188,-0.257807167,2.910717892,4.502077858
39,-157.23,58.7,189,0.1084262,3.734546286,7.065748977
40,-157.23,58.7,190,-1.24181939,7.682265243,9.962872688
41,-157.23,58.7,191,1.114704209,5.551177526,10.22208488
42,-157.23,58.7,192,-0.503903042,7.785538894,10.03413978
43,-157.23,58.7,193,-0.533734432,3.24927825,5.91917685
44,-157.23,58.7,194,0.465921605,3.768120689,6.547227542
45,-157.23,58.7,195,0.006337332,5.932523569,8.337282538
46,-157.23,58.7,196,2.434466945,5.946322307,8.332212374
47,-157.23,58.7,197,1.236701947,4.278755442,7.693950072
48,-157.23,58.7,198,-0.706754967,7.962490601,11.66369097
49,-157.23,58.7,199,-1.548826474,11.06866817,12.4088476
50,-157.23,58.7,200,-1.71129929,7.077707296,9.988996872
51,-157.23,58.7,201,0.372250808,9.072000302,12.48574086
52,-157.23,58.7,202,1.640599987,7.292877803,8.768601213
53,-157.23,58.7,203,-1.297643013,5.966849184,8.833015891
54,-157.23,58.7,204,-0.259023399,4.056091607,5.572103094
55,-157.23,58.7,205,0.533524774,6.323139293,10.04946653
56,-157.23,58.7,206,-0.671253552,11.65571854,15.25569652
57,-157.23,58.7,207,-0.688148291,5.514255424,10.81101947
58,-157.23,58.7,208,0.159779603,7.021781332,10.31329065
59,-157.23,58.7,209,0.465848749,5.725268171,9.784174183
60,-157.23,58.7,210,-1.005416162,3.928964858,7.384769239
61,-157.23,58.7,211,0.253356051,4.713321267,8.0582027
62,-157.23,58.7,212,-0.968423372,5.363444166,9.78292746
63,-157.23,58.7,213,0.237577641,9.804280556,11.33717649
64,-157.23,58.7,214,1.106198785,9.119834608,10.57772648
65,-157.23,58.7,215,-1.156521546,4.368817817,9.629254262
66,-157.23,58.7,216,1.276160936,7.348786554,8.467851719
67,-157.23,58.7,217,-1.460569714,9.22707992,10.84172946
68,-157.23,58.7,218,0.077684052,8.438820045,11.45428776
69,-157.23,58.7,219,6.138451444,11.85085841,14.9496227
70,-157.23,58.7,220,-0.139916799,11.86256412,13.80230911
71,-157.23,58.7,221,0.704846114,5.908587261,8.180556196
72,-157.23,58.7,222,-0.059339923,7.615886042,8.388780174
73,-157.23,58.7,223,0.179948894,5.700109541,7.702277452
74,-157.23,58.7,224,0.201180029,3.956432653,7.805753596
75,-157.23,58.7,225,-0.612245838,2.927616431,4.174607258
76,-157.23,58.7,226,0.61590969,3.489936313,5.042699088
77,-157.23,58.7,227,-0.09562944,2.508005813,4.689117927
78,-157.23,58.7,228,-0.577709076,3.623858622,5.110498395
