,Long,Lat,Jdate,mean(speed),mean(tw),max(speed),date
1,-157.23,58.7,151,4.504292904,0.070696589,6.943490733,6/1/22
2,-157.23,58.7,152,3.05509225,-0.28853654,7.263998292,6/2/22
3,-157.23,58.7,153,2.987638637,-0.302544851,7.510505164,6/3/22
4,-157.23,58.7,154,2.948566059,0.941912015,7.498405818,6/4/22
5,-157.23,58.7,155,3.768705629,0.27990338,5.918961187,6/5/22
6,-157.23,58.7,156,3.576432398,-1.166866249,4.836483964,6/6/22
7,-157.23,58.7,157,3.342136665,-0.096272066,5.274253321,6/7/22
8,-157.23,58.7,158,3.259221727,0.315120859,4.935187166,6/8/22
9,-157.23,58.7,159,4.924858708,0.683088724,7.5365715,6/9/22
10,-157.23,58.7,160,3.399184345,0.769704823,5.297724087,6/10/22
11,-157.23,58.7,161,2.574513849,-0.338981915,4.466092648,6/11/22
12,-157.23,58.7,162,4.613766529,1.329915633,6.773165911,6/12/22
13,-157.23,58.7,163,5.414304059,-0.083066758,7.70549394,6/13/22
14,-157.23,58.7,164,3.790514781,-0.934197975,5.252343403,6/14/22
15,-157.23,58.7,165,1.884203993,-0.104170099,4.429327566,6/15/22
16,-157.23,58.7,166,2.52114408,-0.117648903,5.113404024,6/16/22
17,-157.23,58.7,167,5.637356191,1.160366575,9.582961112,6/17/22
18,-157.23,58.7,168,6.726407883,0.301234823,9.576697797,6/18/22
19,-157.23,58.7,169,3.735174735,0.711484511,5.9914644,6/19/22
20,-157.23,58.7,170,1.941940596,-0.090723336,3.667793584,6/20/22
21,-157.23,58.7,171,4.612409004,1.278910366,9.224735467,6/21/22
22,-157.23,58.7,172,7.80901367,-1.556189678,10.59626183,6/22/22
23,-157.23,58.7,173,7.0302285,2.952245897,10.17198681,6/23/22
24,-157.23,58.7,174,2.907741116,0.162475799,7.715637138,6/24/22
25,-157.23,58.7,175,2.228289099,0.112474585,4.218296989,6/25/22
26,-157.23,58.7,176,10.15426246,0.747972317,14.44090854,6/26/22
27,-157.23,58.7,177,12.9867585,0.556979627,14.96143778,6/27/22
28,-157.23,58.7,178,7.910511185,-1.41537095,11.86124978,6/28/22
29,-157.23,58.7,179,3.413456145,1.161640024,6.08550432,6/29/22
30,-157.23,58.7,180,3.430835341,-0.5683548,6.109884872,6/30/22
31,-157.23,58.7,181,7.507508577,-0.121778395,13.23831472,7/1/22
32,-157.23,58.7,182,6.987416471,3.20444588,11.18658648,7/2/22
33,-157.23,58.7,183,4.340128576,0.154414405,6.118332812,7/3/22
34,-157.23,58.7,184,3.086600502,-0.67189428,6.937509847,7/4/22
35,-157.23,58.7,185,6.643955855,0.883364158,7.432377659,7/5/22
36,-157.23,58.7,186,4.470128696,-1.224620655,6.854708863,7/6/22
37,-157.23,58.7,187,4.389069642,-0.219686278,6.032387657,7/7/22
38,-157.23,58.7,188,2.910717892,-0.136032353,4.502077858,7/8/22
39,-157.23,58.7,189,3.734546286,0.134826599,7.065748977,7/9/22
40,-157.23,58.7,190,7.682265243,0.437559742,9.962872688,7/10/22
41,-157.23,58.7,191,5.551177526,-0.419366855,10.22208488,7/11/22
42,-157.23,58.7,192,7.785538894,-0.281721976,10.03413978,7/12/22
43,-157.23,58.7,193,3.24927825,0.549549663,5.91917685,7/13/22
44,-157.23,58.7,194,3.768120689,0.306972666,6.547227542,7/14/22
45,-157.23,58.7,195,5.932523569,-0.249668631,8.337282538,7/15/22
46,-157.23,58.7,196,5.946322307,2.582425968,8.332212374,7/16/22
47,-157.23,58.7,197,4.278755442,0.98862147,7.693950072,7/17/22
48,-157.23,58.7,198,7.962490601,-0.298837082,11.66369097,7/18/22
49,-157.23,58.7,199,11.06866817,-1.099473181,12.4088476,7/19/22
50,-157.23,58.7,200,7.077707296,-1.816284479,9.988996872,7/20/22
51,-157.23,58.7,201,9.072000302,-0.071746903,12.48574086,7/21/22
52,-157.23,58.7,202,7.292877803,1.467553347,8.768601213,7/22/22
53,-157.23,58.7,203,5.966849184,-1.307525475,8.833015891,7/23/22
54,-157.23,58.7,204,4.056091607,0.128170548,5.572103094,7/24/22
55,-157.23,58.7,205,6.323139293,-0.717129571,10.04946653,7/25/22
56,-157.23,58.7,206,11.65571854,-2.432366157,15.25569652,7/26/22
57,-157.23,58.7,207,5.514255424,-0.788639101,10.81101947,7/27/22
58,-157.23,58.7,208,7.021781332,0.321256419,10.31329065,7/28/22
59,-157.23,58.7,209,5.725268171,0.41955382,9.784174183,7/29/22
60,-157.23,58.7,210,3.928964858,1.277362419,7.384769239,7/30/22
61,-157.23,58.7,211,4.713321267,0.129442148,8.0582027,7/31/22
62,-157.23,58.7,212,5.363444166,-0.570691423,9.78292746,8/1/22
63,-157.23,58.7,213,9.804280556,0.572821371,11.33717649,8/2/22
64,-157.23,58.7,214,9.119834608,1.074477157,10.57772648,8/3/22
65,-157.23,58.7,215,4.368817817,-1.065367692,9.629254262,8/4/22
66,-157.23,58.7,216,7.348786554,0.958332955,8.467851719,8/5/22
67,-157.23,58.7,217,9.22707992,-1.501445254,10.84172946,8/6/22
68,-157.23,58.7,218,8.438820045,-0.158054415,11.45428776,8/7/22
69,-157.23,58.7,219,11.85085841,5.863842499,14.9496227,8/8/22
70,-157.23,58.7,220,11.86256412,0.164577317,13.80230911,8/9/22
71,-157.23,58.7,221,5.908587261,0.310721325,8.180556196,8/10/22
72,-157.23,58.7,222,7.615886042,-0.524728382,8.388780174,8/11/22
73,-157.23,58.7,223,5.700109541,-0.375694648,7.702277452,8/12/22
74,-157.23,58.7,224,3.956432653,-0.021566653,7.805753596,8/13/22
75,-157.23,58.7,225,2.927616431,-0.377222674,4.174607258,8/14/22
76,-157.23,58.7,226,3.489936313,0.34540403,5.042699088,8/15/22
77,-157.23,58.7,227,2.508005813,0.239517144,4.689117927,8/16/22
78,-157.23,58.7,228,3.623858622,-0.499680144,5.110498395,8/17/22
79,-157.23,58.7,229,4.909953749,-0.106073437,7.59197594,8/18/22
80,-157.23,58.7,230,4.405297404,0.10613261,7.202085227,8/19/22
81,-157.23,58.7,231,5.586217104,0.077079323,6.873364222,8/20/22
82,-157.23,58.7,232,5.22930738,-0.735819465,6.252610059,8/21/22
83,-157.23,58.7,233,3.142859624,0.174641331,5.977081983,8/22/22
84,-157.23,58.7,234,6.041634536,1.825941902,7.787691816,8/23/22
85,-157.23,58.7,235,5.557889073,-0.451254857,7.07704689,8/24/22
86,-157.23,58.7,236,3.746333982,-0.313530251,5.926300875,8/25/22
87,-157.23,58.7,237,7.772867875,0.888381755,10.01135006,8/26/22
