"","id","timestamp","site","year","elevation","Jdate","geometry","dist_to_next"
"1",181624,2022-07-03,"Beluga",2022,".",184,c(-151.0293121, 61.2111473),NA
"2",181624,2022-07-05,"Beluga",2022,".",186,c(-151.0252228, 61.2096367),275.987739111542
"3",181624,2022-07-07,"Beluga",2022,".",188,c(-150.994751, 61.1754379),4138.42933335532
"4",181624,2022-07-09,"Beluga",2022,".",190,c(-151.0250092, 61.166069),1928.07271279128
"5",181624,2022-07-11,"Beluga",2022,".",192,c(-150.9924927, 61.1838341),2634.5956107503
"6",181624,2022-07-13,"Beluga",2022,".",194,c(-151.0291901, 61.1608429),3225.99042478411
"7",181624,2022-07-15,"Beluga",2022,".",196,c(-151.452652, 61.0144386),27986.919078364
"8",181624,2022-07-17,"Beluga",2022,".",198,c(-124.08078, 46.9017715),2349833.61242689
"9",181624,2022-07-21,"Beluga",2022,".",202,c(-124.1136475, 47.0179443),13156.4679178142
"10",181624,2022-07-23,"Beluga",2022,".",204,c(-124.0930939, 46.992115),3267.71100057525
"11",181624,2022-07-25,"Beluga",2022,".",206,c(-124.0270462, 46.9097099),10444.841415237
"12",181624,2022-07-27,"Beluga",2022,".",208,c(-124.0502396, 46.89468),2428.5853707241
"13",181624,2022-08-06,"Beluga",2022,".",218,c(-120.2522278, 37.1700592),1125541.58651787
"14",181624,2022-08-08,"Beluga",2022,".",220,c(-119.5403137, 34.401062),314520.976444102
"15",181624,2022-08-10,"Beluga",2022,".",222,c(-119.6627808, 34.4213104),11458.070258055
"16",181624,2022-08-12,"Beluga",2022,".",224,c(-114.545372, 31.7214336),563352.855056214
"17",181624,2022-08-14,"Beluga",2022,".",226,c(-111.3942108, 28.3638401),480970.64624533
"18",181624,2022-08-16,"Beluga",2022,".",228,c(-109.5437698, 26.6968956),260084.572663181
"19",181624,2022-08-20,"Beluga",2022,".",232,c(-109.556976, 26.6939526),1352.13520638887
"20",181624,2022-08-22,"Beluga",2022,".",234,c(-109.556313, 26.6943607),79.9837642519378
"21",181624,2022-08-26,"Beluga",2022,".",238,c(-109.554573, 26.6932354),213.394042810464
"22",181624,2022-08-28,"Beluga",2022,".",240,c(-109.554237, 26.6937218),63.5564368659361
"23",181624,2022-08-30,"Beluga",2022,".",242,c(-109.557137, 26.6937733),288.154431076775
"24",181624,2022-09-03,"Beluga",2022,".",246,c(-109.556236, 26.6934395),96.8996012914066
"25",181624,2022-09-05,"Beluga",2022,".",248,c(-109.533585, 26.7081089),2779.14692345286
"26",181624,2022-09-07,"Beluga",2022,".",250,c(-109.55529, 26.6939774),2667.96136506206
"27",181624,2022-09-09,"Beluga",2022,".",252,c(-109.555161, 26.6940041),13.1547518080119
"28",181624,2022-09-11,"Beluga",2022,".",254,c(-109.554497, 26.6939259),66.534924803516
"29",181624,2022-09-13,"Beluga",2022,".",256,c(-109.554138, 26.693594),51.3223403799685
"30",181624,2022-09-15,"Beluga",2022,".",258,c(-109.586319, 26.7008133),3296.13768580197
"31",181625,2022-06-25,"Beluga",2022,".",176,c(-150.9251709, 61.2120209),NA
"32",181625,2022-06-30,"Beluga",2022,".",181,c(-150.9511566, 61.2188797),1586.65484961461
"33",181625,2022-07-01,"Beluga",2022,".",182,c(-150.9510498, 61.2188797),5.71770221180072
"34",181625,2022-07-03,"Beluga",2022,".",184,c(-150.9255524, 61.2124786),1539.59017061328
"35",181625,2022-07-05,"Beluga",2022,".",186,c(-150.8340302, 61.2454529),6118.51924706528
"36",181625,2022-07-07,"Beluga",2022,".",188,c(-150.8327484, 61.2451439),76.692840962089
"37",181625,2022-07-09,"Beluga",2022,".",190,c(-150.8327332, 61.2452736),14.4449059365084
"38",181625,2022-07-11,"Beluga",2022,".",192,c(-150.8330841, 61.2448654),49.117849684405
"39",181625,2022-07-13,"Beluga",2022,".",194,c(-142.7277679, 57.2551537),638817.898731014
"40",181625,2022-07-15,"Beluga",2022,".",196,c(-124.1620636, 40.8410492),2256155.4287564
"41",181625,2022-07-17,"Beluga",2022,".",198,c(-122.2304153, 37.513588),405705.868282325
"42",181625,2022-07-19,"Beluga",2022,".",200,c(-122.245079, 37.5182991),1395.37614521488
"43",181625,2022-07-21,"Beluga",2022,".",202,c(-122.2457504, 37.5169907),157.076625851124
"44",181625,2022-07-23,"Beluga",2022,".",204,c(-115.9666824, 30.3954296),980484.016397784
"45",181625,2022-07-25,"Beluga",2022,".",206,c(-114.1791382, 27.7489281),341713.908262857
"46",181625,2022-07-27,"Beluga",2022,".",208,c(-114.1794968, 27.7496967),92.4634185224668
"47",181625,2022-07-29,"Beluga",2022,".",210,c(-114.1903992, 27.7281666),2623.49157983416
"48",181625,2022-07-31,"Beluga",2022,".",212,c(-114.1861725, 27.7218952),812.019616052531
"49",181625,2022-08-08,"Beluga",2022,".",220,c(-114.1811829, 27.7525368),3442.40159867111
"50",181625,2022-08-10,"Beluga",2022,".",222,c(-114.2343826, 27.7005692),7798.10948428813
"51",181625,2022-08-12,"Beluga",2022,".",224,c(-114.2247314, 27.7119865),1585.71098973888
"52",181625,2022-08-14,"Beluga",2022,".",226,c(-114.2267761, 27.71278),219.770512025189
"53",181625,2022-08-16,"Beluga",2022,".",228,c(-114.2341537, 27.698061),1790.59605830148
"54",181625,2022-08-18,"Beluga",2022,".",230,c(-114.2335587, 27.6958599),251.664377380722
"55",181625,2022-08-20,"Beluga",2022,".",232,c(-114.1812897, 27.7524872),8131.25468868831
"56",181625,2022-08-22,"Beluga",2022,".",234,c(-114.1810532, 27.7523327),28.9266791985281
"57",181625,2022-08-24,"Beluga",2022,".",236,c(-114.2342529, 27.7000313),7825.66541842865
"58",181625,2022-08-26,"Beluga",2022,".",238,c(-114.23159, 27.699852),262.923467269564
"59",181625,2022-08-28,"Beluga",2022,".",240,c(-114.222786, 27.7083778),1284.5166138601
"60",181625,2022-08-30,"Beluga",2022,".",242,c(-114.229851, 27.7118073),793.181124546365
"61",181625,2022-09-01,"Beluga",2022,".",244,c(-114.229698, 27.7136002),199.929811227042
"62",181625,2022-09-03,"Beluga",2022,".",246,c(-114.18351, 27.755558),6513.94692060392
"63",181625,2022-09-05,"Beluga",2022,".",248,c(-114.181313, 27.7524872),404.143413148273
"64",181625,2022-09-07,"Beluga",2022,".",250,c(-114.181129, 27.7525368),18.9276997138166
"65",181625,2022-09-09,"Beluga",2022,".",252,c(-114.176758, 27.7548923),503.591761398571
"66",181625,2022-09-11,"Beluga",2022,".",254,c(-114.180367, 27.7514877),519.07787085742
"67",181625,2022-09-13,"Beluga",2022,".",256,c(-114.227753, 27.707098),6790.86611683802
"68",181625,2022-09-15,"Beluga",2022,".",258,c(-114.180824, 27.7522812),6824.73206285035
"69",181626,2022-06-25,"Beluga",2022,".",176,c(-151.0236816, 61.2151184),NA
"70",181626,2022-06-30,"Beluga",2022,".",181,c(-151.0254669, 61.2136078),193.267404312862
"71",181626,2022-07-01,"Beluga",2022,".",182,c(-151.0164337, 61.2169609),610.691648344098
"72",181626,2022-07-03,"Beluga",2022,".",184,c(-151.0173798, 61.2163696),82.9993660059551
"73",181626,2022-07-05,"Beluga",2022,".",186,c(-151.0231476, 61.2134781),445.81334922137
