,id,timestamp,Days to next fix,site,year,elevation,Jdate,long,lat,dist_to_next_m,dist_to_next_km
1,181624,7/3/2022,.,Beluga,2022,.,184,c(-151.0293121, 61.2111473),NA,
2,181624,7/5/2022,2.00,Beluga,2022,.,186,c(-151.0252228, 61.2096367),275.9877391,0.275987739
3,181624,7/7/2022,2.00,Beluga,2022,.,188,c(-150.994751, 61.1754379),4138.429333,4.138429333
4,181624,7/9/2022,2.00,Beluga,2022,.,190,c(-151.0250092, 61.166069),1928.072713,1.928072713
5,181624,7/11/2022,2.00,Beluga,2022,.,192,c(-150.9924927, 61.1838341),2634.595611,2.634595611
6,181624,7/13/2022,2.00,Beluga,2022,.,194,c(-151.0291901, 61.1608429),3225.990425,3.225990425
7,181624,7/15/2022,2.00,Beluga,2022,.,196,c(-151.452652, 61.0144386),27986.91908,27.98691908
8,181624,7/17/2022,2.00,Beluga,2022,.,198,c(-124.08078, 46.9017715),2349833.612,2349.833612
9,181624,7/21/2022,4.00,Beluga,2022,.,202,c(-124.1136475, 47.0179443),13156.46792,13.15646792
10,181624,7/23/2022,2.00,Beluga,2022,.,204,c(-124.0930939, 46.992115),3267.711001,3.267711001
11,181624,7/25/2022,2.00,Beluga,2022,.,206,c(-124.0270462, 46.9097099),10444.84142,10.44484142
12,181624,7/27/2022,2.00,Beluga,2022,.,208,c(-124.0502396, 46.89468),2428.585371,2.428585371
13,181624,8/6/2022,10.00,Beluga,2022,.,218,c(-120.2522278, 37.1700592),1125541.587,1125.541587
14,181624,8/8/2022,2.00,Beluga,2022,.,220,c(-119.5403137, 34.401062),314520.9764,314.5209764
15,181624,8/10/2022,2.00,Beluga,2022,.,222,c(-119.6627808, 34.4213104),11458.07026,11.45807026
16,181624,8/12/2022,2.00,Beluga,2022,.,224,c(-114.545372, 31.7214336),563352.8551,563.3528551
17,181624,8/14/2022,2.00,Beluga,2022,.,226,c(-111.3942108, 28.3638401),480970.6462,480.9706462
18,181624,8/16/2022,2.00,Beluga,2022,.,228,c(-109.5437698, 26.6968956),260084.5727,260.0845727
19,181624,8/20/2022,4.00,Beluga,2022,.,232,c(-109.556976, 26.6939526),1352.135206,1.352135206
20,181624,8/22/2022,2.00,Beluga,2022,.,234,c(-109.556313, 26.6943607),79.98376425,0.079983764
