,X.1,X,day.before.dep,dep_prob,Long,Lat,id,site,year,date,Jdate,day_1,day_2,day_3,day_4,day_5,day_6,day_7,mean.speed,mean.tw,max.speed
1,105,121,7,0,-150.98,61.26,233813,Beluga,2021,7/5/21,185,0,0,0,0,0,0,1,1.796338881,0.147691529,2.744207801
2,106,122,6,0,-150.98,61.26,233813,Beluga,2021,7/6/21,186,0,0,0,0,0,1,0,2.390060704,-0.54110016,3.089499085
3,107,123,5,0,-150.98,61.26,233813,Beluga,2021,7/7/21,187,0,0,0,0,1,0,0,4.227695313,-0.450434608,5.071451634
4,108,124,4,0,-150.98,61.26,233813,Beluga,2021,7/8/21,188,0,0,0,1,0,0,0,3.250167391,-1.128554667,3.549124209
5,109,125,3,0,-150.98,61.26,233813,Beluga,2021,7/9/21,189,0,0,1,0,0,0,0,2.771916336,0.201942884,4.086333047
6,110,126,2,0,-150.98,61.26,233813,Beluga,2021,7/10/21,190,0,1,0,0,0,0,0,2.343170808,0.331262226,3.55607454
7,111,127,1,0,-150.98,61.26,233813,Beluga,2021,7/11/21,191,1,0,0,0,0,0,0,1.754390545,-0.343640009,3.60106305
8,112,128,0,1,-150.98,61.26,233813,Beluga,2021,7/12/21,192,0,0,0,0,0,0,0,1.233522399,0.108089765,1.98349188
9,1,1,7,0,-157.23,58.7,233816,KS,2022,7/4/22,184,0,0,0,0,0,0,1,3.086600502,-0.67189428,6.937509847
10,2,2,6,0,-157.23,58.7,233816,KS,2022,7/5/22,185,0,0,0,0,0,1,0,6.643955855,0.883364158,7.432377659
11,3,3,5,0,-157.23,58.7,233816,KS,2022,7/6/22,186,0,0,0,0,1,0,0,4.470128696,-1.224620655,6.854708863
12,4,4,4,0,-157.23,58.7,233816,KS,2022,7/7/22,187,0,0,0,1,0,0,0,4.389069642,-0.219686278,6.032387657
13,5,5,3,0,-157.23,58.7,233816,KS,2022,7/8/22,188,0,0,1,0,0,0,0,2.910717892,-0.136032353,4.502077858
14,6,6,2,0,-157.23,58.7,233816,KS,2022,7/9/22,189,0,1,0,0,0,0,0,3.734546286,0.134826599,7.065748977
15,7,7,1,0,-157.23,58.7,233816,KS,2022,7/10/22,190,1,0,0,0,0,0,0,7.682265243,0.437559742,9.962872688
16,8,8,0,1,-157.23,58.7,233816,KS,2022,7/11/22,191,0,0,0,0,0,0,0,5.551177526,-0.419366855,10.22208488
17,9,9,7,0,-156.98,58.95,233818,KS,2022,7/4/22,184,0,0,0,0,0,0,1,2.914983381,0.189574301,5.974393079
18,10,10,6,0,-156.98,58.95,233818,KS,2022,7/5/22,185,0,0,0,0,0,1,0,6.226633189,0.498243903,7.159285518
19,11,11,5,0,-156.98,58.95,233818,KS,2022,7/6/22,186,0,0,0,0,1,0,0,4.61981819,0.100560587,7.121747072
20,12,12,4,0,-156.98,58.95,233818,KS,2022,7/7/22,187,0,0,0,1,0,0,0,3.837230367,0.175235357,6.287010588
21,13,13,3,0,-156.98,58.95,233818,KS,2022,7/8/22,188,0,0,1,0,0,0,0,2.315411469,0.265765995,3.594705963
22,14,14,2,0,-156.98,58.95,233818,KS,2022,7/9/22,189,0,1,0,0,0,0,0,4.703605699,0.957590375,6.53566429
23,15,15,1,0,-156.98,58.95,233818,KS,2022,7/10/22,190,1,0,0,0,0,0,0,7.228026518,0.239410313,10.14548899
24,16,16,0,1,-156.98,58.95,233818,KS,2022,7/11/22,191,0,0,0,0,0,0,0,4.429475725,-0.235672754,7.305642589
25,17,17,7,0,-156.98,58.95,233819,KS,2022,7/4/22,184,0,0,0,0,0,0,1,2.914983381,0.189574301,5.974393079
26,18,18,6,0,-156.98,58.95,233819,KS,2022,7/5/22,185,0,0,0,0,0,1,0,6.226633189,0.498243903,7.159285518
27,19,19,5,0,-156.98,58.95,233819,KS,2022,7/6/22,186,0,0,0,0,1,0,0,4.61981819,0.100560587,7.121747072
28,20,20,4,0,-156.98,58.95,233819,KS,2022,7/7/22,187,0,0,0,1,0,0,0,3.837230367,0.175235357,6.287010588
29,21,21,3,0,-156.98,58.95,233819,KS,2022,7/8/22,188,0,0,1,0,0,0,0,2.315411469,0.265765995,3.594705963
30,22,22,2,0,-156.98,58.95,233819,KS,2022,7/9/22,189,0,1,0,0,0,0,0,4.703605699,0.957590375,6.53566429
31,23,23,1,0,-156.98,58.95,233819,KS,2022,7/10/22,190,1,0,0,0,0,0,0,7.228026518,0.239410313,10.14548899
32,24,24,0,1,-156.98,58.95,233819,KS,2022,7/11/22,191,0,0,0,0,0,0,0,4.429475725,-0.235672754,7.305642589
