id,timestamp,lat,long,Altitude,Duration,DOP,Satellites
198767,2021-06-07,61.2164097,-151.0231909,25.77,40,0.8,9
198767,2021-06-14,61.217581,-151.0279673,26.68,41,1.2,7
198767,2021-06-21,61.2128287,-150.9215428,12.91,63,5.6,4
198767,2021-06-28,61.2135548,-150.9218161,4.06,42,0.6,11
198767,2021-07-05,61.2136296,-150.922071,9.81,45,1.2,5
198767,2021-07-12,61.2130597,-150.925612,2.5,40,1,7
198767,2021-07-15,48.8936615,-125.377128,5.08,33,3.2,5
198767,2021-07-18,48.8205055,-125.1423353,-15.44,32,1.4,5
198767,2021-07-21,46.370601,-124.0013021,-3.28,33,1.2,5
198767,2021-07-24,40.8418305,-124.1161931,-0.22,62,1.8,5
198767,2021-07-27,37.539989,-122.2078099,0.74,31,1.6,6
198767,2021-07-30,37.5207889,-122.2487196,1,31,2.2,4
198767,2021-08-02,37.5137719,-122.2370777,-1.23,59,0.8,8
198767,2021-08-05,0,0,0,70,0,0
198767,2021-08-08,26.1236571,-109.3375657,0.74,67,1.4,5
198767,2021-08-11,25.9965331,-109.3858745,3.02,30,0.8,9
198767,2021-08-14,25.2212245,-108.2847385,30.13,70,2.4,3
198767,2021-08-17,25.2209902,-108.2836842,-5.53,59,3,4
198767,2021-08-20,25.2217085,-108.2857615,14.03,61,4.6,4
198767,2021-08-23,25.2209035,-108.2828095,30.13,70,1.4,3
198767,2021-08-26,25.2212071,-108.2830166,9.21,70,3.4,4
198767,2021-08-29,25.2218196,-108.2859105,30.13,70,3.8,3
198767,2021-09-01,25.2207743,-108.2830701,0.35,62,2.4,4
198767,2021-09-04,25.2219221,-108.2859793,7.39,52,1.2,5
198767,2021-09-07,0,0,0,70,0,0
198767,2021-09-10,25.2207938,-108.2841058,2.27,69,1.4,5
198767,2021-09-13,25.2219359,-108.2861309,5.94,58,1.6,5
198767,2021-09-16,25.2218139,-108.2860282,-0.71,58,2.6,4
198767,2021-09-19,25.221358,-108.2851806,30.13,70,4.4,3
198767,2021-09-22,25.2213308,-108.2851184,6.2,65,1.6,4
198767,2021-10-06,25.2204331,-108.2869756,8.63,66,0.8,7
198767,2021-10-20,25.2251418,-108.2891442,6.85,38,1.2,9
198767,2021-11-03,25.2255552,-108.2871435,6.72,41,0.6,11
198767,2021-11-17,25.235965,-108.2963686,6.1,40,0.8,8
198767,2021-12-01,25.2262254,-108.2933896,5.56,35,1,5
198767,2021-12-15,25.1885683,-108.3118592,3.46,38,1,7
198767,2021-12-29,25.1331883,-108.2336388,5.43,38,2,5
198767,2022-01-12,25.1618463,-108.2224849,6.24,39,1,6
198767,2022-01-26,25.1529806,-108.2160858,8.19,38,1,7
198767,2022-02-09,25.1553793,-108.2181791,12.47,39,1.8,5
198767,2022-02-23,25.1586651,-108.224596,4.21,60,1.2,6
198767,2022-03-09,0,0,0,70,0,0
198767,2022-03-23,27.1161145,-110.0338723,3.27,37,1.2,4
198767,2022-04-06,34.7304479,-120.5772614,102.1,37,3.2,5
198767,2022-04-20,37.5353941,-122.194782,0.79,40,1.4,7
198767,2022-04-27,37.516039,-122.2485086,5.43,40,2,4
198767,2022-05-04,40.417653,-125.1685853,1763.85,41,1.2,4
198767,2022-05-11,0,0,0,70,0,0
198767,2022-05-18,61.2160295,-151.0182733,25.7,40,1.6,6
198767,2022-05-25,61.2177468,-151.0209976,33.38,40,1,7
198767,2022-06-01,61.2157107,-151.0199382,28,42,0.8,9
198767,2022-06-08,0,0,0,70,0,0
198767,2022-06-15,0,0,0,70,0,0
