tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
198766,JBER,2021,7-Apr-21,1.28E-05,1.28E-05,.,Limnodromus griseus,166022.8694,1.416739271,31N
198765,JBER,2021,21-Jun-21,-160.48069,59.70346,.,Limnodromus griseus,416677.1002,6619316.643,4N
198755,Beluga,2021,21-Jun-21,-150.91233,61.21574,.,Limnodromus griseus,612133.4652,6788608.594,5N
198758,Beluga,2021,21-Jun-21,-150.92429,61.21252,.,Limnodromus griseus,611502.6069,6788229.59,5N
198763,Beluga,2021,21-Jun-21,-150.93594,61.22442,.,Limnodromus griseus,610835.0842,6789534.83,5N
198760,Beluga,2021,21-Jun-21,-151.02089,61.21437,.,Limnodromus griseus,606308.3607,6788274.635,5N
198761,Beluga,2021,21-Jun-21,-151.05103,61.21341,.,Limnodromus griseus,604692.9091,6788119.088,5N
198756,JBER,2021,21-Jun-21,-151.13966,61.14532,.,Limnodromus griseus,600148.6553,6780398.12,5N
198754,JBER,2021,21-Jun-21,-150.91685,61.21438,.,Limnodromus griseus,611895.5709,6788449.413,5N
198757,JBER,2021,21-Jun-21,-150.91585,61.21143,.,Limnodromus griseus,611959.7492,6788122.647,5N
198764,JBER,2021,21-Jun-21,-149.71443,61.32434,.,Limnodromus griseus,354716.4108,6801934.875,6N
198769,JBER,2021,5-Jul-21,-149.99591,60.86272,.,Limnodromus griseus,337303.8781,6751213.19,6N
198771,Beluga,2021,5-Jul-21,-163.10288,59.0101,.,Limnodromus griseus,608952.6575,6542723.168,3N
198766,JBER,2021,5-Jul-21,-150.43408,61.25795,.,Limnodromus griseus,637628.3941,6794222.271,5N
198772,JBER,2021,5-Jul-21,-149.71705,61.32476,.,Limnodromus griseus,354578.1848,6801987.464,6N
198770,JBER,2021,5-Jul-21,-150.44364,61.25529,.,Limnodromus griseus,637127.3994,6793906.032,5N
198753,Beluga,2021,5-Jul-21,-149.70494,61.32986,.,Limnodromus griseus,355249.6093,6802528.295,6N
198759,Beluga,2021,5-Jul-21,-128.17543,42.94797,.,Limnodromus griseus,567266.1933,4755366.777,9N
198759,Beluga,2021,5-Jul-21,-128.17602,42.94477,.,Limnodromus griseus,567221.5444,4755010.951,9N
198765,JBER,2021,12-Jul-21,-149.91382,61.2079,.,Limnodromus griseus,343470.8384,6789433.801,6N
198755,Beluga,2021,12-Jul-21,-115.93459,30.42535,.,Limnodromus griseus,602318.1853,3366400.894,11N
198755,Beluga,2021,12-Jul-21,-115.93777,30.41971,.,Limnodromus griseus,602018.6408,3365772.971,11N
198758,Beluga,2021,12-Jul-21,-113.57961,47.07106,.,Limnodromus griseus,304148.5373,5216290.034,12N
198763,Beluga,2021,12-Jul-21,-150.93097,61.21369,.,Limnodromus griseus,611139.7308,6788348.491,5N
198761,Beluga,2021,12-Jul-21,-149.91164,61.20546,.,Limnodromus griseus,343575.787,6789156.983,6N
198757,JBER,2021,12-Jul-21,-150.91567,61.19737,.,Limnodromus griseus,612019.3485,6786557.397,5N
198764,JBER,2021,12-Jul-21,-149.718,61.32219,.,Limnodromus griseus,354515.4433,6801703.482,6N
198768,JBER,2021,12-Jul-21,-149.89599,61.09919,.,Limnodromus griseus,343892.0342,6777290.605,6N
198768,JBER,2021,12-Jul-21,-149.8973,61.1001,.,Limnodromus griseus,343825.939,6777395.024,6N
198752,Beluga,2021,12-Jul-21,-150.37534,60.69411,.,Limnodromus griseus,643293.8559,6731579.484,5N
198773,Beluga,2021,12-Jul-21,-150.31961,61.26876,.,Limnodromus griseus,643716.4709,6795672.22,5N
198754,JBER,2021,15-Jul-21,-124.16556,40.84447,.,Limnodromus griseus,401743.5637,4522145.66,10N
198769,JBER,2021,15-Jul-21,-139.89605,59.60022,.,Limnodromus griseus,562315.2797,6607407.783,7N
198766,JBER,2021,15-Jul-21,-150.35712,61.23893,.,Limnodromus griseus,641840.4393,6792269.439,5N
198772,JBER,2021,15-Jul-21,-149.71877,61.32566,.,Limnodromus griseus,354490.3386,6802091.487,6N
198768,JBER,2021,15-Jul-21,-149.91262,61.09677,.,Limnodromus griseus,342984.0087,6777061.032,6N
198752,Beluga,2021,15-Jul-21,-88.5303,32.89739,.,Limnodromus griseus,356873.4736,3640949.966,16N
198767,Beluga,2021,15-Jul-21,-145.68833,60.47694,.,Limnodromus griseus,572103.0513,6705247.048,6N
198756,JBER,2021,18-Jul-21,-144.49101,59.97967,.,Limnodromus griseus,640009.1577,6651801.991,6N
198759,Beluga,2021,18-Jul-21,-121.89461,34.38937,.,Limnodromus griseus,601614.5535,3805883.599,10N
198773,Beluga,2021,18-Jul-21,-160.64489,56.28875,.,Limnodromus griseus,398183.3664,6239433.325,4N
198755,Beluga,2021,21-Jul-21,-115.94686,30.42119,.,Limnodromus griseus,601144.0443,3365928.83,11N
198758,Beluga,2021,21-Jul-21,-115.06866,44.86352,.,Limnodromus griseus,652580.2533,4969603.794,11N
