tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233821,King_Salmon,2022,5-Jun-22,-156.6173096,58.6880112,43,Limnodromus griseus,638109.0536,6507766.704,4N
233821,King_Salmon,2022,10-Jun-22,-156.6179962,58.6871414,48,Limnodromus griseus,638072.7069,6507668.48,4N
233821,King_Salmon,2022,15-Jun-22,-156.6179962,58.6871414,45,Limnodromus griseus,638072.7069,6507668.48,4N
233821,King_Salmon,2022,20-Jun-22,-156.6179657,58.6871414,45,Limnodromus griseus,638074.4744,6507668.543,4N
233821,King_Salmon,2022,25-Jun-22,-156.6179657,58.6871681,47,Limnodromus griseus,638074.3688,6507671.515,4N
233821,King_Salmon,2022,30-Jun-22,-156.6179657,58.6871185,43,Limnodromus griseus,638074.565,6507665.994,4N
233821,King_Salmon,2022,1-Jul-22,-156.6179657,58.6871414,44,Limnodromus griseus,638074.4744,6507668.543,4N
233821,King_Salmon,2022,3-Jul-22,-156.6170044,58.687809,39,Limnodromus griseus,638127.5395,6507744.828,4N
233821,King_Salmon,2022,5-Jul-22,-156.6007996,58.6883469,44,Limnodromus griseus,639064.437,6507838.196,4N
233821,King_Salmon,2022,7-Jul-22,-156.6026917,58.6874733,0,Limnodromus griseus,638958.2728,6507737.041,4N
233821,King_Salmon,2022,9-Jul-22,-156.602325,58.6871185,38,Limnodromus griseus,638980.9352,6507698.312,4N
233821,King_Salmon,2022,11-Jul-22,-156.600128,58.6935921,42,Limnodromus griseus,639082.4505,6508423.382,4N
233821,King_Salmon,2022,13-Jul-22,-156.601868,58.6879883,-1,Limnodromus griseus,639003.9542,6507796.068,4N
233821,King_Salmon,2022,15-Jul-22,-156.601822,58.6879883,51,Limnodromus griseus,639006.6199,6507796.163,4N
233821,King_Salmon,2022,17-Jul-22,-157.00351,58.8076668,20,Limnodromus griseus,615331.1646,6520355.082,4N
233821,King_Salmon,2022,19-Jul-22,-157.069382,58.7320442,-2,Limnodromus griseus,611769.2596,6511825.396,4N
233821,King_Salmon,2022,23-Jul-22,-157.08197,58.7476616,19,Limnodromus griseus,610990.8615,6513542.957,4N
233821,King_Salmon,2022,23-Jul-22,-157.08197,58.7476616,19,Limnodromus griseus,610990.8615,6513542.957,4N
233821,King_Salmon,2022,25-Jul-22,-157.07019,58.7358093,15,Limnodromus griseus,611710.4193,6512243.167,4N
233821,King_Salmon,2022,25-Jul-22,-157.07019,58.7358093,15,Limnodromus griseus,611710.4193,6512243.167,4N
