tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233817,King_Salmon,2022,6-Aug-22,-107.652412,24.5047932,-19,Limnodromus griseus,231219.6694,2712697.691,13N
233817,King_Salmon,2022,8-Aug-22,-107.670647,24.528244,-11,Limnodromus griseus,229421.2512,2715331.706,13N
233817,King_Salmon,2022,12-Aug-22,-107.662857,24.5321865,-17,Limnodromus griseus,230219.3119,2715753.268,13N
233817,King_Salmon,2022,14-Aug-22,-107.656746,24.534029,-18,Limnodromus griseus,230842.6591,2715945.47,13N
233817,King_Salmon,2022,16-Aug-22,-107.656975,24.5400696,-18,Limnodromus griseus,230832.3466,2716615.218,13N
233817,King_Salmon,2022,18-Aug-22,-107.666496,24.5419388,-7,Limnodromus griseus,229871.3594,2716840.959,13N
233817,King_Salmon,2022,10-Aug-22,-107.659813,24.5505409,-24,Limnodromus griseus,230567.0945,2717780.99,13N
233817,King_Salmon,2022,24-Aug-22,-107.967888,24.7569542,-17,Limnodromus griseus,199837.0732,2741293.597,13N
233817,King_Salmon,2022,22-Aug-22,-107.968086,24.7571068,-1,Limnodromus griseus,199817.4036,2741310.943,13N
233817,King_Salmon,2022,3-Sep-22,-107.967934,24.7571068,-27,Limnodromus griseus,199832.7853,2741310.609,13N
233817,King_Salmon,2022,28-Aug-22,-107.967812,24.7572346,-15,Limnodromus griseus,199845.4387,2741324.505,13N
233817,King_Salmon,2022,5-Sep-22,-107.966476,24.7604351,-21,Limnodromus griseus,199988.334,2741676.256,13N
233817,King_Salmon,2022,4-Aug-22,-107.944176,24.7619705,-18,Limnodromus griseus,202248.5909,2741797.617,13N
233817,King_Salmon,2022,20-Aug-22,-107.911255,24.7649403,-20,Limnodromus griseus,205586.863,2742055.365,13N
233817,King_Salmon,2022,26-Aug-22,-107.914505,24.7670135,-6,Limnodromus griseus,205262.9077,2742292.124,13N
233820,King_Salmon,2022,12-Aug-22,-108.043304,25.0288773,-22,Limnodromus griseus,798375.1753,2771404.353,12N
233820,King_Salmon,2022,20-Aug-22,-108.039307,25.0289288,-23,Limnodromus griseus,798778.6399,2771418.885,12N
233820,King_Salmon,2022,14-Aug-22,-108.043633,25.0317192,-14,Limnodromus griseus,798335.0733,2771718.578,12N
233820,King_Salmon,2022,18-Aug-22,-108.041641,25.032999,-13,Limnodromus griseus,798533.1054,2771864.808,12N
233820,King_Salmon,2022,16-Aug-22,-108.042992,25.0345592,-25,Limnodromus griseus,798392.9159,2772034.734,12N
233820,King_Salmon,2022,15-Sep-22,-108.034698,25.0456696,-10,Limnodromus griseus,799203.3528,2773284.376,12N
233820,King_Salmon,2022,11-Sep-22,-108.035088,25.0462589,-11,Limnodromus griseus,799162.5465,2773348.822,12N
233820,King_Salmon,2022,9-Sep-22,-108.035088,25.0466423,-18,Limnodromus griseus,799161.6148,2773391.312,12N
233820,King_Salmon,2022,3-Sep-22,-108.034851,25.0468731,-21,Limnodromus griseus,799184.9812,2773417.415,12N
233820,King_Salmon,2022,7-Sep-22,-108.035316,25.0476418,-20,Limnodromus griseus,799136.1675,2773501.577,12N
233820,King_Salmon,2022,30-Aug-22,-108.035133,25.0477695,-22,Limnodromus griseus,799154.3324,2773516.135,12N
233820,King_Salmon,2022,13-Sep-22,-108.035164,25.04846,-5,Limnodromus griseus,799149.5247,2773592.591,12N
233820,King_Salmon,2022,6-Aug-22,-108.034676,25.0529156,-19,Limnodromus griseus,799187.9612,2774087.464,12N
233820,King_Salmon,2022,2-Aug-22,-108.034447,25.0534534,-16,Limnodromus griseus,799209.772,2774147.573,12N
233820,King_Salmon,2022,27-Jul-22,-108.033882,25.0537338,-1,Limnodromus griseus,799266.1288,2774179.899,12N
233820,King_Salmon,2022,24-Aug-22,-108.034164,25.0537605,-25,Limnodromus griseus,799237.5951,2774182.234,12N
233820,King_Salmon,2022,31-Jul-22,-108.033981,25.0537605,-16,Limnodromus griseus,799256.0695,2774182.639,12N
233820,King_Salmon,2022,29-Jul-22,-108.034164,25.0538368,-26,Limnodromus griseus,799237.4096,2774190.69,12N
233820,King_Salmon,2022,4-Aug-22,-108.034416,25.0538883,-17,Limnodromus griseus,799211.8442,2774195.839,12N
233820,King_Salmon,2022,5-Sep-22,-108.034264,25.0538883,-13,Limnodromus griseus,799227.1891,2774196.176,12N
233820,King_Salmon,2022,26-Aug-22,-108.034058,25.0539131,-13,Limnodromus griseus,799247.9251,2774199.38,12N
233820,King_Salmon,2022,10-Aug-22,-108.033546,25.0539646,0,Limnodromus griseus,799299.4877,2774206.222,12N
233820,King_Salmon,2022,8-Aug-22,-108.033936,25.0539913,-15,Limnodromus griseus,799260.0512,2774208.317,12N
233820,King_Salmon,2022,28-Aug-22,-108.033905,25.0541439,-16,Limnodromus griseus,799262.8096,2774225.298,12N
233820,King_Salmon,2022,22-Aug-22,-108.04438,25.0629768,-18,Limnodromus griseus,798183.9257,2775181.038,12N
181624,Beluga,2022,3-Jul-22,-151.0293121,61.2111473,.,Limnodromus griseus,605866.8832,6787902.11,5N
181624,Beluga,2022,5-Jul-22,-151.0252228,61.2096367,.,Limnodromus griseus,606091.6,6787740.531,5N
181624,Beluga,2022,7-Jul-22,-150.994751,61.1754379,.,Limnodromus griseus,607845.1207,6783982.292,5N
181624,Beluga,2022,9-Jul-22,-151.0250092,61.166069,.,Limnodromus griseus,606249.6559,6782889.517,5N
181624,Beluga,2022,11-Jul-22,-150.9924927,61.1838341,.,Limnodromus griseus,607937.8369,6784920.944,5N
