Product Type: PinPoint ArgosP-75,,,,,,,,,
Product ID: 1274,,,,,,,,,
Firmware Version: V5.78.0,,,,,,,,,
,,,,,,,,,
GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
6/7/21 14:59,61.2164097,-151.0231909,25.77,40,,,0.8,9,
6/14/21 15:00,61.217581,-151.0279673,26.68,41,,,1.2,7,
6/21/21 15:00,61.2128287,-150.9215428,12.91,63,,,5.6,4,
6/28/21 15:00,61.2135548,-150.9218161,4.06,42,,,0.6,11,
7/5/21 15:00,61.2136296,-150.922071,9.81,45,,,1.2,5,
7/12/21 15:00,61.2130597,-150.925612,2.5,40,,,1,7,
7/15/21 15:00,48.8936615,-125.377128,5.08,33,,,3.2,5,
7/18/21 15:00,48.8205055,-125.1423353,-15.44,32,,,1.4,5,
7/21/21 15:00,46.370601,-124.0013021,-3.28,33,,,1.2,5,
7/24/21 15:00,40.8418305,-124.1161931,-0.22,62,,,1.8,5,
7/27/21 15:00,37.539989,-122.2078099,0.74,31,,,1.6,6,
7/30/21 15:00,37.5207889,-122.2487196,1,31,,,2.2,4,
8/2/21 15:00,37.5137719,-122.2370777,-1.23,59,,,0.8,8,
8/5/21 15:01,0,0,0,70,,,0,0,
8/8/21 15:00,26.1236571,-109.3375657,0.74,67,,,1.4,5,
8/11/21 15:00,25.9965331,-109.3858745,3.02,30,,,0.8,9,
8/14/21 15:01,25.2212245,-108.2847385,30.13,70,,,2.4,3,
8/17/21 15:00,25.2209902,-108.2836842,-5.53,59,,,3,4,
8/20/21 15:00,25.2217085,-108.2857615,14.03,61,,,4.6,4,
8/23/21 15:01,25.2209035,-108.2828095,30.13,70,,,1.4,3,
8/26/21 15:01,25.2212071,-108.2830166,9.21,70,,,3.4,4,
8/29/21 15:01,25.2218196,-108.2859105,30.13,70,,,3.8,3,
9/1/21 15:00,25.2207743,-108.2830701,0.35,62,,,2.4,4,
9/4/21 15:00,25.2219221,-108.2859793,7.39,52,,,1.2,5,
9/7/21 15:01,0,0,0,70,,,0,0,
9/10/21 15:00,25.2207938,-108.2841058,2.27,69,,,1.4,5,
9/13/21 15:00,25.2219359,-108.2861309,5.94,58,,,1.6,5,
9/16/21 15:00,25.2218139,-108.2860282,-0.71,58,,,2.6,4,
9/19/21 15:01,25.221358,-108.2851806,30.13,70,,,4.4,3,
9/22/21 15:00,25.2213308,-108.2851184,6.2,65,,,1.6,4,
10/6/21 15:00,25.2204331,-108.2869756,8.63,66,,,0.8,7,
10/20/21 14:59,25.2251418,-108.2891442,6.85,38,,,1.2,9,
11/3/21 14:59,25.2255552,-108.2871435,6.72,41,,,0.6,11,
11/17/21 14:59,25.235965,-108.2963686,6.1,40,,,0.8,8,
12/1/21 14:59,25.2262254,-108.2933896,5.56,35,,,1,5,
12/15/21 14:59,25.1885683,-108.3118592,3.46,38,,,1,7,
12/29/21 14:59,25.1331883,-108.2336388,5.43,38,,,2,5,
1/12/22 14:59,25.1618463,-108.2224849,6.24,39,,,1,6,
1/26/22 14:59,25.1529806,-108.2160858,8.19,38,,,1,7,
2/9/22 14:59,25.1553793,-108.2181791,12.47,39,,,1.8,5,
2/23/22 15:00,25.1586651,-108.224596,4.21,60,,,1.2,6,
3/9/22 15:01,0,0,0,70,,,0,0,
3/23/22 14:58,27.1161145,-110.0338723,3.27,37,,,1.2,4,
4/6/22 14:59,34.7304479,-120.5772614,102.1,37,,,3.2,5,
4/20/22 14:59,37.5353941,-122.194782,0.79,40,,,1.4,7,
4/27/22 15:00,37.516039,-122.2485086,5.43,40,,,2,4,
5/4/22 15:00,40.417653,-125.1685853,1763.85,41,,,1.2,4,
5/11/22 15:01,0,0,0,70,,,0,0,
5/18/22 14:59,61.2160295,-151.0182733,25.7,40,,,1.6,6,
5/25/22 15:00,61.2177468,-151.0209976,33.38,40,,,1,7,
6/1/22 15:00,61.2157107,-151.0199382,28,42,,,0.8,9,
6/8/22 15:01,0,0,0,70,,,0,0,
6/15/22 15:01,0,0,0,70,,,0,0,
6/22/22 15:01,0,0,0,70,,,0,0,
6/29/22 15:01,0,0,0,70,,,0,0,
7/6/22 15:01,0,0,0,70,,,0,0,
7/13/22 15:01,0,0,0,70,,,0,0,
7/20/22 15:01,0,0,0,70,,,0,0,
7/27/22 15:01,0,0,0,70,,,0,0,
8/3/22 15:01,0,0,0,70,,,0,0,
8/10/22 15:01,0,0,0,70,,,0,0,
8/17/22 15:01,0,0,0,70,,,0,0,
8/24/22 14:55,61.0731386,-149.7116826,500.22,67,,,5.2,4,
8/31/22 15:01,0,0,0,70,,,0,0,
9/7/22 14:59,61.0731349,-149.7116348,514.13,43,,,7,4,
9/14/22 15:01,0,0,0,70,,,0,0,
9/21/22 15:01,0,0,0,70,,,0,0,
9/28/22 15:01,61.0664359,-149.712292,-9.66,70,,,7.4,3,
10/5/22 15:01,0,0,0,70,,,0,0,
10/12/22 14:58,61.0730669,-149.7116886,522.76,66,,,2.4,6,
10/19/22 15:00,61.0730082,-149.7115153,526.07,49,,,3,4,
10/26/22 15:01,61.0701008,-149.713992,-9.66,70,,,3.8,3,
