day.before.dep,dep_prob,win_long,win_lat,id,site,year,date,mean_tw,mean_ws,max_ws,Jdate,day_1,day_2,day_3,day_4,day_5,day_6,day_7
7,0,-157.23,58.7,233816,KS,2022,7/3/2022,-0.321675709,3.086600502,6.937509847,184,0,0,0,0,0,0,1
6,0,-157.23,58.7,233816,KS,2022,7/4/2022,1.190128752,6.643955855,7.432377659,185,0,0,0,0,0,1,0
5,0,-157.23,58.7,233816,KS,2022,7/5/2022,-1.416562843,4.470128696,6.854708863,186,0,0,0,0,1,0,0
4,0,-157.23,58.7,233816,KS,2022,7/6/2022,-0.965907135,4.389069642,6.032387657,187,0,0,0,1,0,0,0
3,0,-157.23,58.7,233816,KS,2022,7/7/2022,-0.257807167,2.910717892,4.502077858,188,0,0,1,0,0,0,0
2,0,-157.23,58.7,233816,KS,2022,7/8/2022,0.1084262,3.734546286,7.065748977,189,0,1,0,0,0,0,0
1,0,-157.23,58.7,233816,KS,2022,7/9/2022,-1.24181939,7.682265243,9.962872688,190,1,0,0,0,0,0,0
0,1,-157.23,58.7,233816,KS,2022,7/10/2022,1.114704209,5.551177526,10.22208488,191,0,0,0,0,0,0,0
7,0,-156.98,58.95,233818,KS,2022,7/3/2022,-0.210882777,2.914983381,5.974393079,184,0,0,0,0,0,0,1
6,0,-156.98,58.95,233818,KS,2022,7/4/2022,0.742004611,6.226633189,7.159285518,185,0,0,0,0,0,1,0
5,0,-156.98,58.95,233818,KS,2022,7/5/2022,0.263522226,4.61981819,7.121747072,186,0,0,0,0,1,0,0
4,0,-156.98,58.95,233818,KS,2022,7/6/2022,-0.74761548,3.837230367,6.287010588,187,0,0,0,1,0,0,0
3,0,-156.98,58.95,233818,KS,2022,7/7/2022,0.323929083,2.315411469,3.594705963,188,0,0,1,0,0,0,0
2,0,-156.98,58.95,233818,KS,2022,7/8/2022,-0.940975289,4.703605699,6.53566429,189,0,1,0,0,0,0,0
1,0,-156.98,58.95,233818,KS,2022,7/9/2022,0.671988708,7.228026518,10.14548899,190,1,0,0,0,0,0,0
0,1,-156.98,58.95,233818,KS,2022,7/10/2022,0.160758055,4.429475725,7.305642589,191,0,0,0,0,0,0,0
7,0,-156.98,58.95,233819,KS,2022,7/3/2022,-0.210882777,2.914983381,5.974393079,184,0,0,0,0,0,0,1
6,0,-156.98,58.95,233819,KS,2022,7/4/2022,0.742004611,6.226633189,7.159285518,185,0,0,0,0,0,1,0
5,0,-156.98,58.95,233819,KS,2022,7/5/2022,0.263522226,4.61981819,7.121747072,186,0,0,0,0,1,0,0
4,0,-156.98,58.95,233819,KS,2022,7/6/2022,-0.74761548,3.837230367,6.287010588,187,0,0,0,1,0,0,0
3,0,-156.98,58.95,233819,KS,2022,7/7/2022,0.323929083,2.315411469,3.594705963,188,0,0,1,0,0,0,0
2,0,-156.98,58.95,233819,KS,2022,7/8/2022,-0.940975289,4.703605699,6.53566429,189,0,1,0,0,0,0,0
1,0,-156.98,58.95,233819,KS,2022,7/9/2022,0.671988708,7.228026518,10.14548899,190,1,0,0,0,0,0,0
0,1,-156.98,58.95,233819,KS,2022,7/10/2022,0.160758055,4.429475725,7.305642589,191,0,0,0,0,0,0,0
7,0,-156.98,58.7,233821,KS,2022,7/25/2022,1.418040764,10.36109981,13.37183379,206,0,0,0,0,0,0,1
6,0,-156.98,58.7,233821,KS,2022,7/26/2022,0.125815673,5.15153248,9.882903684,207,0,0,0,0,0,1,0
5,0,-156.98,58.7,233821,KS,2022,7/27/2022,0.096526776,6.831235671,9.995751168,208,0,0,0,0,1,0,0
4,0,-156.98,58.7,233821,KS,2022,7/28/2022,0.101800923,5.051250456,9.086565032,209,0,0,0,1,0,0,0
3,0,-156.98,58.7,233821,KS,2022,7/29/2022,0.019523573,3.044996089,6.607007052,210,0,0,1,0,0,0,0
2,0,-156.98,58.7,233821,KS,2022,7/30/2022,-1.186798898,4.288833065,7.331549308,211,0,1,0,0,0,0,0
1,0,-156.98,58.7,233821,KS,2022,7/31/2022,0.096991013,5.106381862,8.710756528,212,1,0,0,0,0,0,0
0,1,-156.98,58.7,233821,KS,2022,8/1/2022,-0.583753039,8.856409338,10.54229752,213,0,0,0,0,0,0,0
7,0,-156.73,58.7,233820,KS,2022,6/21/2022,-0.1415739,6.8273591,8.65255652,172,0,0,0,0,0,0,1
6,0,-156.73,58.7,233820,KS,2022,6/22/2022,0.56328416,6.11354552,8.84103383,173,0,0,0,0,0,1,0
5,0,-156.73,58.7,233820,KS,2022,6/23/2022,0.025133,3.4248661,7.45239847,174,0,0,0,0,1,0,0
4,0,-156.73,58.7,233820,KS,2022,6/24/2022,-0.5745376,2.98058713,6.87046727,175,0,0,0,1,0,0,0
3,0,-156.73,58.7,233820,KS,2022,6/25/2022,-1.7134763,9.01003771,12.2557738,176,0,0,1,0,0,0,0
2,0,-156.73,58.7,233820,KS,2022,6/26/2022,-0.1393726,10.383749,12.5803966,177,0,1,0,0,0,0,0
1,0,-156.73,58.7,233820,KS,2022,6/27/2022,-0.0706047,6.46098962,8.89232076,178,1,0,0,0,0,0,0
0,1,-156.73,58.7,233820,KS,2022,6/28/2022,0.09365552,3.1860093,5.58147441,179,0,0,0,0,0,0,0
7,0,-156.73,58.7,233824,KS,2022,7/1/2022,-0.5947374,4.44054715,7.58415412,182,0,0,0,0,0,0,1
6,0,-156.73,58.7,233824,KS,2022,7/2/2022,0.8282889,3.64760799,5.42106372,183,0,0,0,0,0,1,0
5,0,-156.73,58.7,233824,KS,2022,7/3/2022,-0.1283123,2.17024637,5.6758276,184,0,0,0,0,1,0,0
4,0,-156.73,58.7,233824,KS,2022,7/4/2022,-0.5986366,5.51222684,6.31090026,185,0,0,0,1,0,0,0
3,0,-156.73,58.7,233824,KS,2022,7/5/2022,0.75501985,3.38980184,5.5703665,186,0,0,1,0,0,0,0
2,0,-156.73,58.7,233824,KS,2022,7/6/2022,-0.6357017,3.68234671,5.64053202,187,0,1,0,0,0,0,0
1,0,-156.73,58.7,233824,KS,2022,7/7/2022,-0.0247535,2.1894483,3.50770714,188,1,0,0,0,0,0,0
0,1,-156.73,58.7,233824,KS,2022,7/8/2022,-0.610982,3.34885883,5.60176512,189,0,0,0,0,0,0,0
7,0,-156.73,58.7,233817,KS,2022,6/25/2022,-1.713476331,9.01003771,12.25577384,176,0,0,0,0,0,0,1
6,0,-156.73,58.7,233817,KS,2022,6/26/2022,-0.139372567,10.38374904,12.58039655,177,0,0,0,0,0,1,0
5,0,-156.73,58.7,233817,KS,2022,6/27/2022,-0.070604695,6.460989621,8.892320765,178,0,0,0,0,1,0,0
4,0,-156.73,58.7,233817,KS,2022,6/28/2022,0.093655523,3.186009304,5.58147441,179,0,0,0,1,0,0,0
3,0,-156.73,58.7,233817,KS,2022,6/29/2022,-0.04704514,2.938311355,5.419181703,180,0,0,1,0,0,0,0
2,0,-156.73,58.7,233817,KS,2022,6/30/2022,-0.006114277,5.877608012,11.07536038,181,0,1,0,0,0,0,0
1,0,-156.73,58.7,233817,KS,2022,7/1/2022,-0.594737367,4.440547151,7.584154124,182,1,0,0,0,0,0,0
0,1,-156.73,58.7,233817,KS,2022,7/2/2022,0.828288897,3.647607985,5.421063721,183,0,0,0,0,0,0,0
7,0,-156.73,58.7,233815,KS,2022,7/3/2022,-0.128312289,2.17024637,5.675827598,184,0,0,0,0,0,0,1
6,0,-156.73,58.7,233815,KS,2022,7/4/2022,-0.598636644,5.512226841,6.310900258,185,0,0,0,0,0,1,0
5,0,-156.73,58.7,233815,KS,2022,7/5/2022,0.755019853,3.389801836,5.570366501,186,0,0,0,0,1,0,0
4,0,-156.73,58.7,233815,KS,2022,7/6/2022,-0.635701654,3.682346711,5.640532022,187,0,0,0,1,0,0,0
3,0,-156.73,58.7,233815,KS,2022,7/7/2022,-0.024753484,2.189448302,3.507707141,188,0,0,1,0,0,0,0
2,0,-156.73,58.7,233815,KS,2022,7/8/2022,-0.610981971,3.348858827,5.60176512,189,0,1,0,0,0,0,0
1,0,-156.73,58.7,233815,KS,2022,7/9/2022,1.091223928,5.87113405,8.187783132,190,1,0,0,0,0,0,0
0,1,-156.73,58.7,233815,KS,2022,7/10/2022,-1.162532828,4.120304188,7.063695807,191,0,0,0,0,0,0,0
7,0,-156.73,58.7,233823,KS,2022,6/21/2022,-0.141573868,6.8273591,8.652556523,172,0,0,0,0,0,0,1
6,0,-156.73,58.7,233823,KS,2022,6/22/2022,0.563284159,6.11354552,8.841033827,173,0,0,0,0,0,1,0
5,0,-156.73,58.7,233823,KS,2022,6/23/2022,0.025133,3.424866102,7.452398467,174,0,0,0,0,1,0,0
4,0,-156.73,58.7,233823,KS,2022,6/24/2022,-0.574537583,2.980587132,6.870467272,175,0,0,0,1,0,0,0
3,0,-156.73,58.7,233823,KS,2022,6/25/2022,-1.713476331,9.01003771,12.25577384,176,0,0,1,0,0,0,0
2,0,-156.73,58.7,233823,KS,2022,6/26/2022,-0.139372567,10.38374904,12.58039655,177,0,1,0,0,0,0,0
1,0,-156.73,58.7,233823,KS,2022,6/27/2022,-0.070604695,6.460989621,8.892320765,178,1,0,0,0,0,0,0
0,1,-156.73,58.7,233823,KS,2022,6/28/2022,0.093655523,3.186009304,5.58147441,179,0,0,0,0,0,0,0
7,0,-151.48,61.01,181624,Beluga,2022,7/7/2022,-0.118447202,2.635590577,4.498403588,188,0,0,0,0,0,0,1
6,0,-151.48,61.01,181624,Beluga,2022,7/8/2022,0.411260919,4.721820979,5.494578414,189,0,0,0,0,0,1,0
