,X,day.before.dep,dep_prob,win_long,win_lat,id,site,year,date_opt_2,mean_tw,mean_ws,max_ws,Jdate,day_1,day_2,day_3,day_4,day_5,day_6,day_7
1,1,7,0,-157.23,58.7,233816,KS,2022,2022-07-03,-0.321675709,3.086600502,6.937509847,184,0,0,0,0,0,0,1
2,2,6,0,-157.23,58.7,233816,KS,2022,2022-07-04,1.190128752,6.643955855,7.432377659,185,0,0,0,0,0,1,0
3,3,5,0,-157.23,58.7,233816,KS,2022,2022-07-05,-1.416562843,4.470128696,6.854708863,186,0,0,0,0,1,0,0
4,4,4,0,-157.23,58.7,233816,KS,2022,2022-07-06,-0.965907135,4.389069642,6.032387657,187,0,0,0,1,0,0,0
5,5,3,0,-157.23,58.7,233816,KS,2022,2022-07-07,-0.257807167,2.910717892,4.502077858,188,0,0,1,0,0,0,0
6,6,2,0,-157.23,58.7,233816,KS,2022,2022-07-08,0.1084262,3.734546286,7.065748977,189,0,1,0,0,0,0,0
7,7,1,0,-157.23,58.7,233816,KS,2022,2022-07-09,-1.24181939,7.682265243,9.962872688,190,1,0,0,0,0,0,0
8,8,0,1,-157.23,58.7,233816,KS,2022,2022-07-10,1.114704209,5.551177526,10.22208488,191,0,0,0,0,0,0,0
9,9,7,0,-156.98,58.95,233818,KS,2022,2022-07-03,-0.210882777,2.914983381,5.974393079,184,0,0,0,0,0,0,1
10,10,6,0,-156.98,58.95,233818,KS,2022,2022-07-04,0.742004611,6.226633189,7.159285518,185,0,0,0,0,0,1,0
11,11,5,0,-156.98,58.95,233818,KS,2022,2022-07-05,0.263522226,4.61981819,7.121747072,186,0,0,0,0,1,0,0
12,12,4,0,-156.98,58.95,233818,KS,2022,2022-07-06,-0.74761548,3.837230367,6.287010588,187,0,0,0,1,0,0,0
13,13,3,0,-156.98,58.95,233818,KS,2022,2022-07-07,0.323929083,2.315411469,3.594705963,188,0,0,1,0,0,0,0
14,14,2,0,-156.98,58.95,233818,KS,2022,2022-07-08,-0.940975289,4.703605699,6.53566429,189,0,1,0,0,0,0,0
15,15,1,0,-156.98,58.95,233818,KS,2022,2022-07-09,0.671988708,7.228026518,10.14548899,190,1,0,0,0,0,0,0
16,16,0,1,-156.98,58.95,233818,KS,2022,2022-07-10,0.160758055,4.429475725,7.305642589,191,0,0,0,0,0,0,0
17,17,7,0,-156.98,58.95,233819,KS,2022,2022-07-03,-0.210882777,2.914983381,5.974393079,184,0,0,0,0,0,0,1
18,18,6,0,-156.98,58.95,233819,KS,2022,2022-07-04,0.742004611,6.226633189,7.159285518,185,0,0,0,0,0,1,0
19,19,5,0,-156.98,58.95,233819,KS,2022,2022-07-05,0.263522226,4.61981819,7.121747072,186,0,0,0,0,1,0,0
20,20,4,0,-156.98,58.95,233819,KS,2022,2022-07-06,-0.74761548,3.837230367,6.287010588,187,0,0,0,1,0,0,0
21,21,3,0,-156.98,58.95,233819,KS,2022,2022-07-07,0.323929083,2.315411469,3.594705963,188,0,0,1,0,0,0,0
22,22,2,0,-156.98,58.95,233819,KS,2022,2022-07-08,-0.940975289,4.703605699,6.53566429,189,0,1,0,0,0,0,0
23,23,1,0,-156.98,58.95,233819,KS,2022,2022-07-09,0.671988708,7.228026518,10.14548899,190,1,0,0,0,0,0,0
24,24,0,1,-156.98,58.95,233819,KS,2022,2022-07-10,0.160758055,4.429475725,7.305642589,191,0,0,0,0,0,0,0
25,25,7,0,-156.98,58.7,233821,KS,2022,2022-07-26,0.125815673,5.15153248,9.882903684,207,0,0,0,0,0,0,1
26,26,6,0,-156.98,58.7,233821,KS,2022,2022-07-27,0.096526776,6.831235671,9.995751168,208,0,0,0,0,0,1,0
27,27,5,0,-156.98,58.7,233821,KS,2022,2022-07-28,0.101800923,5.051250456,9.086565032,209,0,0,0,0,1,0,0
28,28,4,0,-156.98,58.7,233821,KS,2022,2022-07-29,0.019523573,3.044996089,6.607007052,210,0,0,0,1,0,0,0
29,29,3,0,-156.98,58.7,233821,KS,2022,2022-07-30,-1.186798898,4.288833065,7.331549308,211,0,0,1,0,0,0,0
30,30,2,0,-156.98,58.7,233821,KS,2022,2022-07-31,0.096991013,5.106381862,8.710756528,212,0,1,0,0,0,0,0
31,31,1,0,-156.98,58.7,233821,KS,2022,2022-08-01,-0.583753039,8.856409338,10.54229752,213,1,0,0,0,0,0,0
32,32,0,1,-156.98,58.7,233821,KS,2022,2022-08-02,-0.186244603,8.323812908,9.948969269,214,0,0,0,0,0,0,0
33,33,7,0,-156.73,58.7,233820,KS,2022,2022-06-21,-0.1415739,6.8273591,8.65255652,172,0,0,0,0,0,0,1
34,34,6,0,-156.73,58.7,233820,KS,2022,2022-06-22,0.56328416,6.11354552,8.84103383,173,0,0,0,0,0,1,0
35,35,5,0,-156.73,58.7,233820,KS,2022,2022-06-23,0.025133,3.4248661,7.45239847,174,0,0,0,0,1,0,0
36,36,4,0,-156.73,58.7,233820,KS,2022,2022-06-24,-0.5745376,2.98058713,6.87046727,175,0,0,0,1,0,0,0
37,37,3,0,-156.73,58.7,233820,KS,2022,2022-06-25,-1.7134763,9.01003771,12.2557738,176,0,0,1,0,0,0,0
38,38,2,0,-156.73,58.7,233820,KS,2022,2022-06-26,-0.1393726,10.383749,12.5803966,177,0,1,0,0,0,0,0
39,39,1,0,-156.73,58.7,233820,KS,2022,2022-06-27,-0.0706047,6.46098962,8.89232076,178,1,0,0,0,0,0,0
40,40,0,1,-156.73,58.7,233820,KS,2022,2022-06-28,0.09365552,3.1860093,5.58147441,179,0,0,0,0,0,0,0
41,41,7,0,-156.73,58.7,233824,KS,2022,2022-07-02,0.828288897,3.647607985,5.421063721,183,0,0,0,0,0,0,1
42,42,6,0,-156.73,58.7,233824,KS,2022,2022-07-03,-0.128312289,2.17024637,5.675827598,184,0,0,0,0,0,1,0
43,43,5,0,-156.73,58.7,233824,KS,2022,2022-07-04,-0.598636644,5.512226841,6.310900258,185,0,0,0,0,1,0,0
44,44,4,0,-156.73,58.7,233824,KS,2022,2022-07-05,0.755019853,3.389801836,5.570366501,186,0,0,0,1,0,0,0
45,45,3,0,-156.73,58.7,233824,KS,2022,2022-07-06,-0.635701654,3.682346711,5.640532022,187,0,0,1,0,0,0,0
46,46,2,0,-156.73,58.7,233824,KS,2022,2022-07-07,-0.024753484,2.189448302,3.507707141,188,0,1,0,0,0,0,0
47,47,1,0,-156.73,58.7,233824,KS,2022,2022-07-08,-0.610981971,3.348858827,5.60176512,189,1,0,0,0,0,0,0
48,48,0,1,-156.73,58.7,233824,KS,2022,2022-07-09,1.091223928,5.87113405,8.187783132,190,0,0,0,0,0,0,0
49,49,7,0,-156.73,58.7,233817,KS,2022,2022-06-26,-0.139372567,10.38374904,12.58039655,177,0,0,0,0,0,0,1
