day before dep,dep_prob,id,site,year,date_opt_1,mean_tw,mean_ws,,
7,0,233816,KS,2022,2022-07-03,,,,
6,0,233816,KS,2022,2022-07-04,,,,
5,0,233816,KS,2022,2022-07-05,,,,
4,0,233816,KS,2022,2022-07-06,,,,
3,0,233816,KS,2022,2022-07-07,,,,
2,0,233816,KS,2022,2022-07-08,,,,
1,0,233816,KS,2022,2022-07-09,,,,
0,1,233816,KS,2022,2022-07-10,,,,
7,0,233818,KS,2022,2022-07-03,,,,
6,0,233818,KS,2022,2022-07-04,,,,
5,0,233818,KS,2022,2022-07-05,,,,
4,0,233818,KS,2022,2022-07-06,,,,
3,0,233818,KS,2022,2022-07-07,,,,
2,0,233818,KS,2022,2022-07-08,,,,
1,0,233818,KS,2022,2022-07-09,,,,
0,1,233818,KS,2022,2022-07-10,,,,
7,0,233819,KS,2022,2022-07-03,,,,
6,0,233819,KS,2022,2022-07-04,,,,
5,0,233819,KS,2022,2022-07-05,,,,
4,0,233819,KS,2022,2022-07-06,,,,
3,0,233819,KS,2022,2022-07-07,,,,
2,0,233819,KS,2022,2022-07-08,,,,
1,0,233819,KS,2022,2022-07-09,,,,
0,1,233819,KS,2022,2022-07-10,,,,
7,0,233821,KS,2022,2022-07-25,,,,
6,0,233821,KS,2022,2022-07-26,,,,
5,0,233821,KS,2022,2022-07-27,,,,
4,0,233821,KS,2022,2022-07-28,,,,
3,0,233821,KS,2022,2022-07-29,,,,
2,0,233821,KS,2022,2022-07-30,,,,
1,0,233821,KS,2022,2022-07-31,,,,
0,1,233821,KS,2022,2022-08-01,,,,
7,0,233820,KS,2022,2022-06-21,,,,
6,0,233820,KS,2022,2022-06-22,,,,
5,0,233820,KS,2022,2022-06-23,,,,
4,0,233820,KS,2022,2022-06-24,,,,
3,0,233820,KS,2022,2022-06-25,,,,
2,0,233820,KS,2022,2022-06-26,,,,
1,0,233820,KS,2022,2022-06-27,,,,
0,1,233820,KS,2022,2022-06-28,,,,
7,0,233824,KS,2022,2022-07-01,,,,
6,0,233824,KS,2022,2022-07-02,,,,
5,0,233824,KS,2022,2022-07-03,,,,
4,0,233824,KS,2022,2022-07-04,,,,
3,0,233824,KS,2022,2022-07-05,,,,
2,0,233824,KS,2022,2022-07-06,,,,
1,0,233824,KS,2022,2022-07-07,,,,
0,1,233824,KS,2022,2022-07-08,,,,
7,0,233817,KS,2022,2022-06-25,,,,
6,0,233817,KS,2022,2022-06-26,,,,
5,0,233817,KS,2022,2022-06-27,,,,
4,0,233817,KS,2022,2022-06-28,,,,
3,0,233817,KS,2022,2022-06-29,,,,
2,0,233817,KS,2022,2022-06-30,,,,
1,0,233817,KS,2022,2022-07-01,,,,
0,1,233817,KS,2022,2022-07-02,,,,
7,0,233815,KS,2022,2022-07-03,,,,
6,0,233815,KS,2022,2022-07-04,,,,
5,0,233815,KS,2022,2022-07-05,,,,
4,0,233815,KS,2022,2022-07-06,,,,
3,0,233815,KS,2022,2022-07-07,,,,
2,0,233815,KS,2022,2022-07-08,,,,
1,0,233815,KS,2022,2022-07-09,,,,
0,1,233815,KS,2022,2022-07-10,,,,
7,0,233823,KS,2022,2022-06-21,,,,
6,0,233823,KS,2022,2022-06-22,,,,
5,0,233823,KS,2022,2022-06-23,,,,
4,0,233823,KS,2022,2022-06-24,,,,
3,0,233823,KS,2022,2022-06-25,,,,
2,0,233823,KS,2022,2022-06-26,,,,
1,0,233823,KS,2022,2022-06-27,,,,
0,1,233823,KS,2022,2022-06-28,,,,
7,0,181624,Beluga,2022,2022-07-07,,,,
6,0,181624,Beluga,2022,2022-07-08,,,,
5,0,181624,Beluga,2022,2022-07-09,,,,
4,0,181624,Beluga,2022,2022-07-10,,,,
3,0,181624,Beluga,2022,2022-07-11,,,,
2,0,181624,Beluga,2022,2022-07-12,,,,
1,0,181624,Beluga,2022,2022-07-13,,,,
0,1,181624,Beluga,2022,2022-07-14,,,,
7,0,181626,Beluga,2022,2022-07-19,,,,
6,0,181626,Beluga,2022,2022-07-20,,,,
5,0,181626,Beluga,2022,2022-07-21,,,,
4,0,181626,Beluga,2022,2022-07-22,,,,
3,0,181626,Beluga,2022,2022-07-23,,,,
