,id,timestamp,site,year,Jdate,geometry,,dist_from_last (m),dist_from_last (km),,
1,198758,6/21/21,Beluga,2021,172,c(-150.92429, 61.21252),NA,,,
2,198761,6/21/21,Beluga,2021,172,c(-151.05103, 61.21341),NA,,,
3,198763,6/21/21,Beluga,2021,172,c(-150.93594, 61.22442),NA,,,
4,198752,7/12/21,Beluga,2021,193,c(-150.37534, 60.69411),NA,,,
5,198761,7/12/21,Beluga,2021,193,c(-149.91164, 61.20546),61022.92979,61.02292979,,
6,198763,7/12/21,Beluga,2021,193,c(-150.93097, 61.21369),1222.431795,1.222431795,,
7,198773,7/12/21,Beluga,2021,193,c(-150.31961, 61.26876),NA,,,
8,198767,7/15/21,Beluga,2021,196,c(-145.68833, 60.47694),NA,,,
9,198773,7/18/21,Beluga,2021,199,c(-160.64489, 56.28875),811214.2648,811.2142648,,
10,198763,7/21/21,Beluga,2021,202,c(-124.03214, 46.86334),2342284.938,2342.284938,,
11,198761,7/21/21,Beluga,2021,202,c(-130.46177, 54.37307),1372437.8,1372.4378,,
12,198752,7/24/21,Beluga,2021,205,c(-124.02816, 46.60324),2310133.716,2310.133716,,
13,198767,7/24/21,Beluga,2021,205,c(-128.59947, 52.46932),1369176.512,1369.176512,,
14,198752,8/2/21,Beluga,2021,214,c(-123.95678, 46.66667),8913.384468,8.913384468,,
15,198773,8/2/21,Beluga,2021,214,c(-114.03901, 27.63005),4853464.05,4853.46405,,
16,198761,8/2/21,Beluga,2021,214,c(-122.14115, 37.6151),1967885.475,1967.885475,,
17,198758,8/2/21,Beluga,2021,214,c(-123.96515, 46.66146),2362880.829,2362.880829,,
18,198763,8/2/21,Beluga,2021,214,c(-124.13734, 47.0255),19720.78299,19.72078299,,
19,198773,8/8/21,Beluga,2021,220,c(-112.13553, 25.14788),334839.4675,334.8394675,,
20,198763,8/8/21,Beluga,2021,220,c(-124.16133, 46.94369),9277.108772,9.277108772,,
21,198767,8/11/21,Beluga,2021,223,c(-97.65358, 22.33111),4260538.677,4260.538677,,
22,198752,8/11/21,Beluga,2021,223,c(-113.08397, 31.10833),1965033.147,1965.033147,,
23,198761,8/11/21,Beluga,2021,223,c(-109.1175, 25.62164),1812621.408,1812.621408,,
24,198758,8/11/21,Beluga,2021,223,c(-117.89615, 32.21054),1687959.757,1687.959757,,
25,198773,8/17/21,Beluga,2021,229,c(-115.9643, 26.10259),398254.293,398.254293,,
26,198758,8/17/21,Beluga,2021,229,c(-111.80568, 28.49542),715439.9617,715.4399617,,
27,198767,8/20/21,Beluga,2021,232,c(-107.49947, 24.42392),1031258.754,1031.258754,,
28,198761,8/20/21,Beluga,2021,232,c(-109.10818, 25.64872),3152.788351,3.152788351,,
29,198752,8/23/21,Beluga,2021,235,c(-113.08074, 31.10677),353.0635575,0.353063557,,
30,198773,8/26/21,Beluga,2021,238,c(-115.20295, 25.99269),77034.90109,77.03490109,,
31,198767,9/1/21,Beluga,2021,244,c(-107.48856, 24.45694),3834.171698,3.834171698,,
