event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23357225773,TRUE,2022-07-21,-115.127281,29.5982971,,3D,2386,,FALSE,G,OK,,,gps,Limnodromus griseus,233820,129231937,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",2421.586299,2.156199907,-2.371750751,0.438544476
23733297893,TRUE,2022-06-30,-142.4147339,53.1137657,,,1977,,,,,,,gps,Limnodromus griseus,233820,129231937,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1977.867385,5.483693391,2.965093714,0.001873241
23733299016,TRUE,2022-06-30,-142.4148102,53.1137161,,,1976,,,,,,,gps,Limnodromus griseus,233823,129232014,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1976.867193,5.484276345,2.964545141,0.001839416
23733294949,TRUE,2022-07-07,-123.8762589,40.7041168,,,1363,,,,,,,gps,Limnodromus griseus,233817,129231924,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1392.738971,2.479992855,1.091876299,-0.032126567
23733294948,TRUE,2022-07-05,-142.8343201,49.2754555,,,1297,,,,,,,gps,Limnodromus griseus,233817,129231924,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1306.431466,3.760002982,-5.527386438,0.0010442
23724538156,TRUE,2022-09-13,-119.261963,43.2606087,,3D,1241,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1259.245227,3.034430902,0.659922395,0.06315581
23724538155,TRUE,2022-09-11,-119.237389,43.2450676,,3D,1240,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1258.574409,-5.019303291,-0.243462881,-0.200126243
23752459174,TRUE,2022-09-11,-119.237389,43.2450676,,3D,1240,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1258.574409,-5.019303291,-0.243462881,-0.200126243
23724538157,TRUE,2022-09-15,-119.085175,43.2470131,,3D,1237,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1255.417738,2.781528519,-0.468951889,0.037434732
23579119136,TRUE,2022-08-28,-119.194511,43.2516975,,3D,1236,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",1254.218079,6.522580263,-3.583146293,0.141902983
