,id,timestamp,elevation,site,year,Jdate,long,lat,dis_to_next_m,dist_to_next_km,time_
1,198767,6/7/21,25.77,Beluga,2021,158,c(-151.0231909, 61.2164097),NA,,168
2,198767,6/14/21,26.68,Beluga,2021,165,c(-151.0279673, 61.217581),286.9836361,0.286983636,168
3,198767,6/21/21,12.91,Beluga,2021,172,c(-150.9215428, 61.2128287),5722.713647,5.722713647,168
4,198767,6/28/21,4.06,Beluga,2021,179,c(-150.9218161, 61.2135548),82.05429339,0.082054293,168
5,198767,7/5/21,9.81,Beluga,2021,186,c(-150.922071, 61.2136296),15.98335302,0.015983353,168
6,198767,7/12/21,2.5,Beluga,2021,193,c(-150.925612, 61.2130597),199.9156962,0.199915696,72
7,198767,7/15/21,5.08,Beluga,2021,196,c(-125.377128, 48.8936615),2102945.628,2102.945628,72
8,198767,7/18/21,-15.44,Beluga,2021,199,c(-125.1423353, 48.8205055),19006.11787,19.00611787,72
9,198767,7/21/21,-3.28,Beluga,2021,202,c(-124.0013021, 46.370601),285528.7074,285.5287074,72
10,198767,7/24/21,-0.22,Beluga,2021,205,c(-124.1161931, 40.8418305),614841.5874,614.8415874,72
11,198767,7/27/21,0.74,Beluga,2021,208,c(-122.2078099, 37.539989),402273.5105,402.2735105,72
12,198767,7/30/21,1,Beluga,2021,211,c(-122.2487196, 37.5207889),4191.875801,4.191875801,72
13,198767,8/2/21,-1.23,Beluga,2021,214,c(-122.2370777, 37.5137719),1289.59996,1.28959996,72
14,198767,8/5/21,0,Beluga,2021,217,c(0, 0),12790932.18,12790.93218,72
15,198767,8/8/21,0.74,Beluga,2021,220,c(-109.3375657, 26.1236571),11930778.1,11930.7781,72
16,198767,8/11/21,3.02,Beluga,2021,223,c(-109.3858745, 25.9965331),14936.54727,14.93654727,72
17,198767,8/14/21,30.13,Beluga,2021,226,c(-108.2847385, 25.2212245),140081.7706,140.0817706,72
18,198767,8/17/21,-5.53,Beluga,2021,229,c(-108.2836842, 25.2209902),109.2102878,0.109210288,72
19,198767,8/20/21,14.03,Beluga,2021,232,c(-108.2857615, 25.2217085),223.7095485,0.223709548,72
20,198767,8/23/21,30.13,Beluga,2021,235,c(-108.2828095, 25.2209035),310.1532687,0.310153269,72
21,198767,8/26/21,9.21,Beluga,2021,238,c(-108.2830166, 25.2212071),39.66965376,0.039669654,72
22,198767,8/29/21,30.13,Beluga,2021,241,c(-108.2859105, 25.2218196),298.971452,0.298971452,72
23,198767,9/1/21,0.35,Beluga,2021,244,c(-108.2830701, 25.2207743),308.4658017,0.308465802,72
24,198767,9/4/21,7.39,Beluga,2021,247,c(-108.2859793, 25.2219221),319.2701231,0.319270123,72
25,198767,9/7/21,0,Beluga,2021,250,c(0, 0),11841163.07,11841.16307,72
26,198767,9/10/21,2.27,Beluga,2021,253,c(-108.2841058, 25.2207938),11840993.94,11840.99394,72
27,198767,9/13/21,5.94,Beluga,2021,256,c(-108.2861309, 25.2219359),240.0572243,0.240057224,72
28,198767,9/16/21,-0.71,Beluga,2021,259,c(-108.2860282, 25.2218139),17.05172041,0.01705172,72
29,198767,9/19/21,30.13,Beluga,2021,262,c(-108.2851806, 25.221358),99.19575199,0.099195752,72
30,198767,9/22/21,6.2,Beluga,2021,265,c(-108.2851184, 25.2213308),6.949644775,0.006949645,336
31,198767,10/6/21,8.63,Beluga,2021,279,c(-108.2869756, 25.2204331),211.819842,0.211819842,336
32,198767,10/20/21,6.85,Beluga,2021,293,c(-108.2891442, 25.2251418),567.2113673,0.567211367,336
33,198767,11/3/21,6.72,Beluga,2021,307,c(-108.2871435, 25.2255552),206.4361935,0.206436193,337
34,198767,11/17/21,6.1,Beluga,2021,321,c(-108.2963686, 25.235965),1483.540726,1.483540726,336
35,198767,12/1/21,5.56,Beluga,2021,335,c(-108.2933896, 25.2262254),1123.685267,1.123685267,336
36,198767,12/15/21,3.46,Beluga,2021,349,c(-108.3118592, 25.1885683),4581.059061,4.581059061,336
37,198767,12/29/21,5.43,Beluga,2021,363,c(-108.2336388, 25.1331883),9994.821371,9.994821371,336
38,198767,1/12/22,6.24,Beluga,2021,12,c(-108.2224849, 25.1618463),3378.619259,3.378619259,336
39,198767,1/26/22,8.19,Beluga,2021,26,c(-108.2160858, 25.1529806),1177.561296,1.177561296,336
40,198767,2/9/22,12.47,Beluga,2021,40,c(-108.2181791, 25.1553793),339.9003092,0.339900309,336
41,198767,2/23/22,4.21,Beluga,2021,54,c(-108.224596, 25.1586651),742.030883,0.742030883,336
42,198767,3/9/22,0,Beluga,2021,68,c(0, 0),11836024.57,11836.02457,335
43,198767,3/23/22,3.27,Beluga,2021,82,c(-110.0338723, 27.1161145),11981653.42,11981.65342,336
44,198767,4/6/22,102.1,Beluga,2021,96,c(-120.5772614, 34.7304479),1313201.457,1313.201457,336
45,198767,4/20/22,0.79,Beluga,2021,110,c(-122.194782, 37.5353941),344048.838,344.048838,168
46,198767,4/27/22,5.43,Beluga,2021,117,c(-122.2485086, 37.516039),5203.869809,5.203869809,168
47,198767,5/4/22,1763.85,Beluga,2021,124,c(-125.1685853, 40.417653),409619.6227,409.6196227,168
48,198767,5/11/22,0,Beluga,2021,131,c(0, 0),12899679.77,12899.67977,168
49,198767,5/18/22,25.7,Beluga,2021,138,c(-151.0182733, 61.2160295),12777549.41,12777.54941,168
50,198767,5/25/22,33.38,Beluga,2021,145,c(-151.0209976, 61.2177468),240.2888666,0.240288867,168
51,198767,6/1/22,28,Beluga,2021,152,c(-151.0199382, 61.2157107),233.4012445,0.233401245,168
52,198767,6/8/22,0,Beluga,2021,159,c(0, 0),12777627,12777.627,168
53,198767,6/15/22,0,Beluga,2021,166,c(0, 0),0,,NA
